Counter,Simple NN Dropout: 0.2 Val Acc,Simple NN Dropout: 0.2 Test Acc,Simple NN Dropout: 0.2 F1 score,Simple NN Dropout: 0.2 Precision,Simple NN Dropout: 0.2 Recall,Simple NN Dropout: 0.2 True Neg.,Simple NN Dropout: 0.2 False Pos.,Simple NN Dropout: 0.2 False Neg.,Simple NN Dropout: 0.2 True Pos.,Simple NN Dropout: 0.3 Val Acc,Simple NN Dropout: 0.3 Test Acc,Simple NN Dropout: 0.3 F1 score,Simple NN Dropout: 0.3 Precision,Simple NN Dropout: 0.3 Recall,Simple NN Dropout: 0.3 True Neg.,Simple NN Dropout: 0.3 False Pos.,Simple NN Dropout: 0.3 False Neg.,Simple NN Dropout: 0.3 True Pos.,Simple NN Dropout: 0.4 Val Acc,Simple NN Dropout: 0.4 Test Acc,Simple NN Dropout: 0.4 F1 score,Simple NN Dropout: 0.4 Precision,Simple NN Dropout: 0.4 Recall,Simple NN Dropout: 0.4 True Neg.,Simple NN Dropout: 0.4 False Pos.,Simple NN Dropout: 0.4 False Neg.,Simple NN Dropout: 0.4 True Pos.
0,85.71,83.33,0.83,0.83,0.83,115.0,29.0,19.0,125.0,86.58,81.6,0.82,0.82,0.82,108.0,36.0,17.0,127.0,86.58,81.6,0.82,0.82,0.82,109.0,35.0,18.0,126.0
1,83.12,83.68,0.84,0.84,0.84,111.0,33.0,14.0,130.0,84.42,83.68,0.84,0.84,0.84,116.0,28.0,19.0,125.0,82.68,84.03,0.84,0.84,0.84,117.0,27.0,19.0,125.0
2,83.55,81.94,0.82,0.83,0.82,106.0,38.0,14.0,130.0,82.68,81.94,0.82,0.83,0.82,108.0,36.0,16.0,128.0,83.12,82.64,0.83,0.83,0.83,112.0,32.0,18.0,126.0
3,83.98,84.38,0.84,0.85,0.84,115.0,29.0,16.0,128.0,84.42,82.99,0.83,0.83,0.83,111.0,33.0,16.0,128.0,83.55,81.94,0.82,0.83,0.82,107.0,37.0,15.0,129.0
4,83.98,82.99,0.83,0.83,0.83,113.0,31.0,18.0,126.0,82.68,84.38,0.84,0.85,0.84,114.0,30.0,15.0,129.0,83.98,82.64,0.83,0.83,0.83,113.0,31.0,19.0,125.0
5,85.28,82.29,0.82,0.83,0.82,107.0,37.0,14.0,130.0,84.85,83.68,0.84,0.84,0.84,114.0,30.0,17.0,127.0,86.15,83.33,0.83,0.83,0.83,116.0,28.0,20.0,124.0
6,84.42,85.07,0.85,0.85,0.85,121.0,23.0,20.0,124.0,85.28,84.03,0.84,0.84,0.84,117.0,27.0,19.0,125.0,83.98,83.68,0.84,0.84,0.84,116.0,28.0,19.0,125.0
7,83.98,84.72,0.85,0.85,0.85,114.0,30.0,14.0,130.0,82.68,83.33,0.83,0.84,0.83,113.0,31.0,17.0,127.0,82.25,84.03,0.84,0.84,0.84,113.0,31.0,15.0,129.0
8,80.52,82.99,0.83,0.83,0.83,111.0,33.0,16.0,128.0,78.79,80.9,0.81,0.81,0.81,111.0,33.0,22.0,122.0,78.35,86.11,0.86,0.86,0.86,118.0,26.0,14.0,130.0
9,80.95,80.21,0.8,0.82,0.8,98.0,46.0,11.0,133.0,80.95,82.99,0.83,0.83,0.83,113.0,31.0,18.0,126.0,80.52,83.68,0.84,0.84,0.84,117.0,27.0,20.0,124.0
4.5,83.549,83.16000000000001,0.8309999999999998,0.836,0.8309999999999998,111.1,32.9,15.6,128.4,83.333,82.952,0.8300000000000001,0.833,0.8300000000000001,112.5,31.5,17.6,126.4,83.11600000000001,83.36799999999998,0.835,0.836,0.835,113.8,30.2,17.7,126.3
9.166666666666666,2.7884322222222213,2.0972222222222223,0.00023222222222222188,0.00011555555555555576,0.00023222222222222188,39.43333333333333,39.43333333333333,7.6000000000000005,7.599999999999999,5.177223333333321,1.2744177777777783,0.00011111111111111082,0.00013444444444444414,0.00011111111111111082,9.166666666666666,9.166666666666666,4.044444444444444,4.044444444444444,5.919982222222234,1.6462400000000037,0.00013888888888888913,0.00011555555555555574,0.00013888888888888913,13.511111111111113,13.511111111111113,4.9,4.8999999999999995
3.0276503540974917,1.669859940899901,1.4481789330818973,0.015238839267549936,0.01074967699773141,0.015238839267549936,6.279596590015423,6.279596590015423,2.7568097504180447,2.756809750418044,2.2753512549347894,1.128901137291383,0.010540925533894584,0.011595018087284045,0.010540925533894584,3.0276503540974917,3.0276503540974917,2.0110804171997807,2.0110804171997807,2.4331013588057187,1.2830588451041534,0.011785113019775802,0.010749676997731408,0.011785113019775802,3.675746333890726,3.675746333890726,2.2135943621178655,2.2135943621178655
