Counter,Simple NN Seed 7 Dropout: 0.2 Val Acc,Simple NN Seed 7 Dropout: 0.2 Test Acc,Simple NN Seed 7 Dropout: 0.2 F1 score,Simple NN Seed 7 Dropout: 0.2 Precision,Simple NN Seed 7 Dropout: 0.2 Recall,Simple NN Seed 7 Dropout: 0.2 True Neg.,Simple NN Seed 7 Dropout: 0.2 False Pos.,Simple NN Seed 7 Dropout: 0.2 False Neg.,Simple NN Seed 7 Dropout: 0.2 True Pos.,Simple NN Seed 7 Dropout: 0.3 Val Acc,Simple NN Seed 7 Dropout: 0.3 Test Acc,Simple NN Seed 7 Dropout: 0.3 F1 score,Simple NN Seed 7 Dropout: 0.3 Precision,Simple NN Seed 7 Dropout: 0.3 Recall,Simple NN Seed 7 Dropout: 0.3 True Neg.,Simple NN Seed 7 Dropout: 0.3 False Pos.,Simple NN Seed 7 Dropout: 0.3 False Neg.,Simple NN Seed 7 Dropout: 0.3 True Pos.,Simple NN Seed 7 Dropout: 0.4 Val Acc,Simple NN Seed 7 Dropout: 0.4 Test Acc,Simple NN Seed 7 Dropout: 0.4 F1 score,Simple NN Seed 7 Dropout: 0.4 Precision,Simple NN Seed 7 Dropout: 0.4 Recall,Simple NN Seed 7 Dropout: 0.4 True Neg.,Simple NN Seed 7 Dropout: 0.4 False Pos.,Simple NN Seed 7 Dropout: 0.4 False Neg.,Simple NN Seed 7 Dropout: 0.4 True Pos.
0,80.52,82.64,0.83,0.83,0.83,114.0,30.0,20.0,124.0,81.82,81.6,0.82,0.82,0.82,117.0,27.0,26.0,118.0,82.25,80.56,0.81,0.81,0.81,113.0,31.0,25.0,119.0
1,82.25,81.94,0.82,0.83,0.82,108.0,36.0,16.0,128.0,83.98,80.9,0.81,0.81,0.81,110.0,34.0,21.0,123.0,84.42,82.29,0.82,0.83,0.82,111.0,33.0,18.0,126.0
2,80.52,81.6,0.82,0.82,0.82,109.0,35.0,18.0,126.0,80.95,81.6,0.82,0.82,0.82,112.0,32.0,21.0,123.0,82.25,81.94,0.82,0.82,0.82,116.0,28.0,24.0,120.0
3,78.79,82.64,0.83,0.83,0.83,117.0,27.0,23.0,121.0,80.52,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,78.79,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0
4,80.95,83.68,0.84,0.84,0.84,118.0,26.0,21.0,123.0,80.09,83.33,0.83,0.83,0.83,117.0,27.0,21.0,123.0,80.95,82.29,0.82,0.82,0.82,115.0,29.0,22.0,122.0
5,84.42,82.64,0.83,0.83,0.83,114.0,30.0,20.0,124.0,86.15,83.68,0.84,0.84,0.84,119.0,25.0,22.0,122.0,83.55,81.6,0.82,0.82,0.82,113.0,31.0,22.0,122.0
6,81.82,81.6,0.82,0.82,0.82,112.0,32.0,21.0,123.0,80.95,81.94,0.82,0.82,0.82,113.0,31.0,21.0,123.0,85.28,81.94,0.82,0.82,0.82,116.0,28.0,24.0,120.0
7,83.12,82.64,0.83,0.83,0.83,117.0,27.0,23.0,121.0,83.55,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,85.71,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0
8,79.65,80.21,0.8,0.8,0.8,109.0,35.0,22.0,122.0,80.95,81.25,0.81,0.81,0.81,113.0,31.0,23.0,121.0,77.06,79.86,0.8,0.81,0.8,102.0,42.0,16.0,128.0
9,78.79,81.6,0.82,0.82,0.82,112.0,32.0,21.0,123.0,79.65,82.29,0.82,0.82,0.82,115.0,29.0,22.0,122.0,80.09,81.94,0.82,0.82,0.82,115.0,29.0,23.0,121.0
4.5,81.083,82.119,0.8240000000000001,0.825,0.8240000000000001,113.0,31.0,20.5,123.5,81.861,82.152,0.8220000000000001,0.8220000000000001,0.8220000000000001,115.0,29.0,22.4,121.6,82.035,81.874,0.819,0.8210000000000001,0.819,113.6,30.4,21.8,122.2
9.166666666666666,3.3789788888888834,0.8896544444444517,0.00011555555555555513,0.00011666666666666627,0.00011555555555555513,13.11111111111111,13.11111111111111,4.722222222222222,4.722222222222222,4.228121111111112,0.8360177777777789,8.4444444444444e-05,8.4444444444444e-05,8.4444444444444e-05,8.222222222222221,8.222222222222221,3.155555555555557,3.1555555555555546,8.039161111111099,1.0647155555555545,7.666666666666611e-05,5.444444444444401e-05,7.666666666666611e-05,20.93333333333333,20.933333333333334,7.7333333333333325,7.733333333333334
3.0276503540974917,1.83819990449594,0.9432149513469619,0.01074967699773138,0.010801234497346416,0.01074967699773138,3.6209268304000717,3.6209268304000717,2.173067468400883,2.173067468400883,2.0562395558667554,0.9143400777488532,0.00918936583472679,0.00918936583472679,0.00918936583472679,2.8674417556808756,2.8674417556808756,1.7763883459298975,1.7763883459298968,2.835341445242724,1.0318505490406809,0.0087559503577091,0.007378647873726189,0.0087559503577091,4.575295983139597,4.575295983139597,2.780887148615228,2.780887148615228
