Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNet B4 Best Param,EfficientNet B4 Val Acc,EfficientNet B4 Test Acc,EfficientNet B4 F1 score,EfficientNet B4 Precision,EfficientNet B4 Recall,EfficientNet B4 True Neg.,EfficientNet B4 False Pos.,EfficientNet B4 False Neg.,EfficientNet B4 True Pos.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Best Param,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Val Acc,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Test Acc,FeatSpaceEnsNet 1: ResNet50 and ResNext50 F1 score,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Precision,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Recall,FeatSpaceEnsNet 1: ResNet50 and ResNext50 True Neg.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 False Pos.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 False Neg.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 True Pos.,"FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Best Param","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Val Acc","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Test Acc","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 F1 score","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Precision","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Recall","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 True Neg.","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 False Pos.","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 False Neg.","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 True Pos."
0,{'logisticregression__C': 0.0001},83.12,85.42,0.85,0.85,0.85,122,22,20,124,{'logisticregression__C': 0.001},77.92,82.29,0.82,0.82,0.82,116,28,23,121,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,113,31,21,123,{'logisticregression__C': 0.001},84.42,86.11,0.86,0.86,0.86,124,20,20,124,{'logisticregression__C': 0.001},83.98,85.42,0.85,0.85,0.85,122,22,20,124
1,{'logisticregression__C': 0.001},87.88,84.03,0.84,0.84,0.84,119,25,21,123,{'logisticregression__C': 0.0001},83.98,80.21,0.8,0.8,0.8,111,33,24,120,{'logisticregression__C': 0.0005},84.85,79.86,0.8,0.8,0.8,110,34,24,120,{'logisticregression__C': 0.0001},87.01,83.68,0.84,0.84,0.84,120,24,23,121,{'logisticregression__C': 0.0001},87.88,84.38,0.84,0.85,0.84,115,29,16,128
2,{'logisticregression__C': 0.0001},81.39,82.99,0.83,0.83,0.83,119,25,24,120,{'logisticregression__C': 0.0001},78.35,81.25,0.81,0.81,0.81,116,28,26,118,{'logisticregression__C': 0.0001},84.85,80.9,0.81,0.81,0.81,110,34,21,123,{'logisticregression__C': 0.0005},79.65,82.64,0.83,0.83,0.83,117,27,23,121,{'logisticregression__C': 0.0005},84.42,83.68,0.84,0.84,0.84,119,25,22,122
3,{'logisticregression__C': 0.0001},84.42,84.72,0.85,0.85,0.85,122,22,22,122,{'logisticregression__C': 0.001},82.25,80.21,0.8,0.8,0.8,112,32,25,119,{'logisticregression__C': 0.0001},80.95,80.9,0.81,0.81,0.81,110,34,21,123,{'logisticregression__C': 0.001},86.15,84.38,0.84,0.84,0.84,121,23,22,122,{'logisticregression__C': 0.0005},87.45,83.68,0.84,0.84,0.84,116,28,19,125
4,{'logisticregression__C': 0.0005},81.82,83.68,0.84,0.84,0.84,120,24,23,121,{'logisticregression__C': 0.0001},79.65,80.9,0.81,0.81,0.81,114,30,25,119,{'logisticregression__C': 0.001},82.68,80.56,0.81,0.81,0.81,110,34,22,122,{'logisticregression__C': 0.0005},83.12,84.38,0.84,0.84,0.84,119,25,20,124,{'logisticregression__C': 0.0001},83.98,84.03,0.84,0.84,0.84,117,27,19,125
5,{'logisticregression__C': 0.0001},84.42,86.11,0.86,0.86,0.86,123,21,19,125,{'logisticregression__C': 0.001},83.12,80.9,0.81,0.81,0.81,110,34,21,123,{'logisticregression__C': 0.0001},85.28,80.21,0.8,0.8,0.8,110,34,23,121,{'logisticregression__C': 0.0005},86.15,84.38,0.84,0.84,0.84,119,25,20,124,{'logisticregression__C': 0.001},87.45,84.72,0.85,0.85,0.85,117,27,17,127
6,{'logisticregression__C': 0.0005},87.88,85.07,0.85,0.85,0.85,122,22,21,123,{'logisticregression__C': 0.0001},85.71,80.56,0.81,0.81,0.81,112,32,24,120,{'logisticregression__C': 0.0005},85.28,80.21,0.8,0.8,0.8,109,35,22,122,{'logisticregression__C': 0.0001},87.45,84.72,0.85,0.85,0.85,118,26,18,126,{'logisticregression__C': 0.0005},86.58,84.38,0.84,0.84,0.84,118,26,19,125
7,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120,24,22,122,{'logisticregression__C': 0.0001},81.82,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.0001},80.52,79.86,0.8,0.8,0.8,107,37,21,123,{'logisticregression__C': 0.001},84.42,83.33,0.83,0.83,0.83,118,26,22,122,{'logisticregression__C': 0.0001},83.98,83.68,0.84,0.84,0.84,116,28,19,125
8,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120,24,22,122,{'logisticregression__C': 0.0001},83.55,80.56,0.81,0.81,0.81,113,31,25,119,{'logisticregression__C': 0.0001},82.68,79.17,0.79,0.8,0.79,105,39,21,123,{'logisticregression__C': 0.0005},86.15,83.33,0.83,0.83,0.83,115,29,19,125,{'logisticregression__C': 0.001},85.28,83.68,0.84,0.84,0.84,114,30,17,127
9,{'logisticregression__C': 0.0001},83.12,83.33,0.83,0.83,0.83,118,26,22,122,{'logisticregression__C': 0.0005},82.25,82.99,0.83,0.83,0.83,117,27,22,122,{'logisticregression__C': 0.0001},84.42,82.29,0.82,0.82,0.82,113,31,20,124,{'logisticregression__C': 0.0005},86.15,84.38,0.84,0.84,0.84,118,26,19,125,{'logisticregression__C': 0.0005},86.15,85.07,0.85,0.85,0.85,118,26,17,127
