Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNet B4 Best Param,EfficientNet B4 Val Acc,EfficientNet B4 Test Acc,EfficientNet B4 F1 score,EfficientNet B4 Precision,EfficientNet B4 Recall,EfficientNet B4 True Neg.,EfficientNet B4 False Pos.,EfficientNet B4 False Neg.,EfficientNet B4 True Pos.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Best Param,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Val Acc,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Test Acc,FeatSpaceEnsNet 1: ResNet50 and ResNext50 F1 score,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Precision,FeatSpaceEnsNet 1: ResNet50 and ResNext50 Recall,FeatSpaceEnsNet 1: ResNet50 and ResNext50 True Neg.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 False Pos.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 False Neg.,FeatSpaceEnsNet 1: ResNet50 and ResNext50 True Pos.,"FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Best Param","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Val Acc","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Test Acc","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 F1 score","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Precision","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 Recall","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 True Neg.","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 False Pos.","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 False Neg.","FeatSpaceEnsNet 2: ResNet50, ResNeXt50 and EfficientNetB4 True Pos."
0,{'logisticregression__C': 0.0001},82.25,82.64,0.83,0.83,0.83,119,25,25,119,{'logisticregression__C': 0.0001},82.68,81.94,0.82,0.82,0.82,117,27,25,119,{'logisticregression__C': 0.0005},82.68,81.94,0.82,0.82,0.82,124,20,32,112,{'logisticregression__C': 0.0001},83.55,84.38,0.84,0.84,0.84,122,22,23,121,{'logisticregression__C': 0.001},84.42,85.76,0.86,0.86,0.86,125,19,22,122
1,{'logisticregression__C': 0.0005},81.82,81.6,0.82,0.82,0.82,117,27,26,118,{'logisticregression__C': 0.0001},80.95,81.25,0.81,0.81,0.81,114,30,24,120,{'logisticregression__C': 0.001},83.98,82.29,0.82,0.82,0.82,121,23,28,116,{'logisticregression__C': 0.001},80.09,84.72,0.85,0.85,0.85,122,22,22,122,{'logisticregression__C': 0.0001},83.55,85.76,0.86,0.86,0.86,123,21,20,124
2,{'logisticregression__C': 0.0001},84.42,82.99,0.83,0.83,0.83,119,25,24,120,{'logisticregression__C': 0.0001},82.68,81.6,0.82,0.82,0.82,118,26,27,117,{'logisticregression__C': 0.001},83.12,83.33,0.83,0.83,0.83,124,20,28,116,{'logisticregression__C': 0.001},83.98,85.07,0.85,0.85,0.85,121,23,20,124,{'logisticregression__C': 0.0005},85.28,86.11,0.86,0.86,0.86,125,19,21,123
3,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,114,30,24,120,{'logisticregression__C': 0.0001},82.25,80.56,0.81,0.81,0.81,113,31,25,119,{'logisticregression__C': 0.0005},82.68,82.64,0.83,0.83,0.83,121,23,27,117,{'logisticregression__C': 0.001},85.71,84.03,0.84,0.84,0.84,121,23,23,121,{'logisticregression__C': 0.001},82.25,85.07,0.85,0.85,0.85,123,21,22,122
4,{'logisticregression__C': 0.0001},84.85,84.72,0.85,0.85,0.85,121,23,21,123,{'logisticregression__C': 0.001},83.55,81.25,0.81,0.81,0.81,114,30,24,120,{'logisticregression__C': 0.0005},84.42,79.51,0.8,0.8,0.8,117,27,32,112,{'logisticregression__C': 0.0001},85.71,84.03,0.84,0.84,0.84,119,25,21,123,{'logisticregression__C': 0.0001},87.01,86.46,0.86,0.86,0.86,124,20,19,125
5,{'logisticregression__C': 0.0005},87.45,82.64,0.83,0.83,0.83,118,26,24,120,{'logisticregression__C': 0.001},81.82,80.9,0.81,0.81,0.81,114,30,25,119,{'logisticregression__C': 0.0001},82.25,81.6,0.82,0.82,0.82,119,25,28,116,{'logisticregression__C': 0.001},85.28,82.99,0.83,0.83,0.83,118,26,23,121,{'logisticregression__C': 0.001},87.45,84.72,0.85,0.85,0.85,121,23,21,123
6,{'logisticregression__C': 0.001},85.71,82.99,0.83,0.83,0.83,119,25,24,120,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,116,28,24,120,{'logisticregression__C': 0.001},84.85,80.21,0.8,0.8,0.8,116,28,29,115,{'logisticregression__C': 0.0001},85.71,85.07,0.85,0.85,0.85,120,24,19,125,{'logisticregression__C': 0.001},84.42,85.76,0.86,0.86,0.86,122,22,19,125
7,{'logisticregression__C': 0.001},80.95,84.03,0.84,0.84,0.84,119,25,21,123,{'logisticregression__C': 0.0001},83.98,79.51,0.79,0.8,0.8,109,35,24,120,{'logisticregression__C': 0.0005},83.12,80.56,0.81,0.81,0.81,116,28,28,116,{'logisticregression__C': 0.0001},83.12,82.29,0.82,0.82,0.82,118,26,25,119,{'logisticregression__C': 0.0001},84.42,85.07,0.85,0.85,0.85,123,21,22,122
8,{'logisticregression__C': 0.001},78.79,84.03,0.84,0.84,0.84,119,25,21,123,{'logisticregression__C': 0.0005},78.35,83.33,0.83,0.83,0.83,117,27,21,123,{'logisticregression__C': 0.0005},80.52,80.9,0.81,0.81,0.81,121,23,32,112,{'logisticregression__C': 0.0001},80.09,82.64,0.83,0.83,0.83,117,27,23,121,{'logisticregression__C': 0.001},81.39,82.99,0.83,0.83,0.83,119,25,24,120
9,{'logisticregression__C': 0.0005},83.12,84.72,0.85,0.85,0.85,122,22,22,122,{'logisticregression__C': 0.0001},83.12,83.33,0.83,0.83,0.83,118,26,22,122,{'logisticregression__C': 0.001},81.82,81.94,0.82,0.82,0.82,123,21,31,113,{'logisticregression__C': 0.0001},85.28,84.38,0.84,0.84,0.84,119,25,20,124,{'logisticregression__C': 0.0001},85.28,86.81,0.87,0.87,0.87,127,17,21,123
