Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNet B4 Best Param,EfficientNet B4 Val Acc,EfficientNet B4 Test Acc,EfficientNet B4 F1 score,EfficientNet B4 Precision,EfficientNet B4 Recall,EfficientNet B4 True Neg.,EfficientNet B4 False Pos.,EfficientNet B4 False Neg.,EfficientNet B4 True Pos.,ResNet101 Best Param,ResNet101 Val Acc,ResNet101 Test Acc,ResNet101 F1 score,ResNet101 Precision,ResNet101 Recall,ResNet101 True Neg.,ResNet101 False Pos.,ResNet101 False Neg.,ResNet101 True Pos.,ResNet152 Best Param,ResNet152 Val Acc,ResNet152 Test Acc,ResNet152 F1 score,ResNet152 Precision,ResNet152 Recall,ResNet152 True Neg.,ResNet152 False Pos.,ResNet152 False Neg.,ResNet152 True Pos.,IncResNetV2 Best Param,IncResNetV2 Val Acc,IncResNetV2 Test Acc,IncResNetV2 F1 score,IncResNetV2 Precision,IncResNetV2 Recall,IncResNetV2 True Neg.,IncResNetV2 False Pos.,IncResNetV2 False Neg.,IncResNetV2 True Pos.,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 Best Param,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 Val Acc,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 Test Acc,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 F1 score,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 Precision,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 Recall,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 True Neg.,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 False Pos.,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 False Neg.,FeatSpaceEnsNet 7: ResNet50-IncResNetV2 True Pos.,AvgEnsNet 2: ResNet50 & ResNet101 Best Param,AvgEnsNet 2: ResNet50 & ResNet101 Val Acc,AvgEnsNet 2: ResNet50 & ResNet101 Test Acc,AvgEnsNet 2: ResNet50 & ResNet101 F1 score,AvgEnsNet 2: ResNet50 & ResNet101 Precision,AvgEnsNet 2: ResNet50 & ResNet101 Recall,AvgEnsNet 2: ResNet50 & ResNet101 True Neg.,AvgEnsNet 2: ResNet50 & ResNet101 False Pos.,AvgEnsNet 2: ResNet50 & ResNet101 False Neg.,AvgEnsNet 2: ResNet50 & ResNet101 True Pos.,AvgEnsNet 3: ResNet50 & ResNeXt50 Best Param,AvgEnsNet 3: ResNet50 & ResNeXt50 Val Acc,AvgEnsNet 3: ResNet50 & ResNeXt50 Test Acc,AvgEnsNet 3: ResNet50 & ResNeXt50 F1 score,AvgEnsNet 3: ResNet50 & ResNeXt50 Precision,AvgEnsNet 3: ResNet50 & ResNeXt50 Recall,AvgEnsNet 3: ResNet50 & ResNeXt50 True Neg.,AvgEnsNet 3: ResNet50 & ResNeXt50 False Pos.,AvgEnsNet 3: ResNet50 & ResNeXt50 False Neg.,AvgEnsNet 3: ResNet50 & ResNeXt50 True Pos.,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 Best Param,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 Val Acc,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 Test Acc,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 F1 score,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 Precision,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 Recall,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 True Neg.,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 False Pos.,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 False Neg.,AvgEnsNet 4: ResNet50 & ResNet101 & ResNeXt50 True Pos.,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 Best Param,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 Val Acc,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 Test Acc,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 F1 score,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 Precision,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 Recall,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 True Neg.,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 False Pos.,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 False Neg.,AvgEnsNet 5: ResNet50 & ResNet101 & InceptionResNetV2 True Pos.,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 Best Param,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 Val Acc,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 Test Acc,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 F1 score,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 Precision,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 Recall,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 True Neg.,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 False Pos.,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 False Neg.,AvgEnsNet 6: ResNet50 & ResNet101 & ResNet152 True Pos.,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 Best Param,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 Val Acc,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 Test Acc,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 F1 score,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 Precision,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 Recall,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 True Neg.,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 False Pos.,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 False Neg.,AvgEnsNet 7: ResNet50 & ResNeXt50 & EfficientNetB4 True Pos.
0,{'logisticregression__C': 0.0001},82.25,82.64,0.83,0.83,0.83,119.0,25.0,25.0,119.0,{'logisticregression__C': 0.0001},82.68,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,{'logisticregression__C': 0.0005},82.68,81.94,0.82,0.82,0.82,124.0,20.0,32.0,112.0,{'logisticregression__C': 0.0001},86.58,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,{'logisticregression__C': 0.001},81.39,82.99,0.83,0.83,0.83,121.0,23.0,26.0,118.0,{'logisticregression__C': 0.0005},84.42,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,{'logisticregression__C': 0.0001},85.28,84.03,0.84,0.84,0.84,124.0,20.0,26.0,118.0,Ensemble,86.15,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0,Ensemble,83.98,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0,Ensemble,85.71,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,85.28,81.94,0.82,0.82,0.82,116.0,28.0,24.0,120.0,Ensemble,84.42,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,Ensemble,86.15,84.72,0.85,0.85,0.85,123.0,21.0,23.0,121.0
1,{'logisticregression__C': 0.0005},81.82,81.6,0.82,0.82,0.82,117.0,27.0,26.0,118.0,{'logisticregression__C': 0.0001},80.95,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.001},83.98,82.29,0.82,0.82,0.82,121.0,23.0,28.0,116.0,{'logisticregression__C': 0.0005},83.55,84.38,0.84,0.84,0.84,123.0,21.0,24.0,120.0,{'logisticregression__C': 0.0005},83.12,81.6,0.82,0.82,0.82,118.0,26.0,27.0,117.0,{'logisticregression__C': 0.0001},80.52,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,{'logisticregression__C': 0.001},84.42,84.03,0.84,0.84,0.84,126.0,18.0,28.0,116.0,Ensemble,84.42,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,Ensemble,82.25,82.64,0.83,0.83,0.83,120.0,24.0,26.0,118.0,Ensemble,83.12,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,Ensemble,83.98,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,Ensemble,83.98,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0,Ensemble,86.15,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0
2,{'logisticregression__C': 0.0001},84.42,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.0001},82.68,81.6,0.82,0.82,0.82,118.0,26.0,27.0,117.0,{'logisticregression__C': 0.001},83.12,83.33,0.83,0.83,0.83,124.0,20.0,28.0,116.0,{'logisticregression__C': 0.001},84.42,84.72,0.85,0.85,0.85,127.0,17.0,27.0,117.0,{'logisticregression__C': 0.001},82.68,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.0001},85.71,82.29,0.82,0.82,0.82,120.0,24.0,27.0,117.0,{'logisticregression__C': 0.001},83.55,84.03,0.84,0.84,0.84,125.0,19.0,27.0,117.0,Ensemble,84.85,84.38,0.84,0.84,0.84,123.0,21.0,24.0,120.0,Ensemble,84.42,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,Ensemble,85.28,85.07,0.85,0.85,0.85,124.0,20.0,23.0,121.0,Ensemble,85.71,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,Ensemble,84.85,83.68,0.84,0.84,0.84,122.0,22.0,25.0,119.0,Ensemble,86.15,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0
3,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0001},82.25,80.56,0.81,0.81,0.81,113.0,31.0,25.0,119.0,{'logisticregression__C': 0.0005},82.68,82.64,0.83,0.83,0.83,121.0,23.0,27.0,117.0,{'logisticregression__C': 0.0005},83.55,83.33,0.83,0.83,0.83,121.0,23.0,25.0,119.0,{'logisticregression__C': 0.001},82.68,81.94,0.82,0.82,0.82,120.0,24.0,28.0,116.0,{'logisticregression__C': 0.0001},80.95,84.03,0.84,0.84,0.84,123.0,21.0,25.0,119.0,{'logisticregression__C': 0.0001},82.68,84.72,0.85,0.85,0.85,123.0,21.0,23.0,121.0,Ensemble,84.42,82.99,0.83,0.83,0.83,115.0,29.0,20.0,124.0,Ensemble,84.42,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,Ensemble,83.98,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,85.71,84.38,0.84,0.84,0.84,118.0,26.0,19.0,125.0,Ensemble,83.12,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0,Ensemble,84.85,83.68,0.84,0.84,0.84,118.0,26.0,21.0,123.0
4,{'logisticregression__C': 0.0001},84.85,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0,{'logisticregression__C': 0.001},83.55,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0005},84.42,79.51,0.8,0.8,0.8,117.0,27.0,32.0,112.0,{'logisticregression__C': 0.0005},85.28,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,{'logisticregression__C': 0.0005},84.42,80.56,0.81,0.81,0.81,120.0,24.0,32.0,112.0,{'logisticregression__C': 0.0005},80.52,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0,{'logisticregression__C': 0.001},83.98,85.76,0.86,0.86,0.86,126.0,18.0,23.0,121.0,Ensemble,85.28,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,84.85,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0,Ensemble,84.85,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0,Ensemble,87.01,84.38,0.84,0.84,0.84,119.0,25.0,20.0,124.0,Ensemble,86.15,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,Ensemble,86.15,85.76,0.86,0.86,0.86,123.0,21.0,20.0,124.0
5,{'logisticregression__C': 0.0005},87.45,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,{'logisticregression__C': 0.001},81.82,80.9,0.81,0.81,0.81,114.0,30.0,25.0,119.0,{'logisticregression__C': 0.0001},82.25,81.6,0.82,0.82,0.82,119.0,25.0,28.0,116.0,{'logisticregression__C': 0.0005},86.58,82.64,0.83,0.83,0.83,121.0,23.0,27.0,117.0,{'logisticregression__C': 0.001},87.45,80.21,0.8,0.8,0.8,118.0,26.0,31.0,113.0,{'logisticregression__C': 0.0001},83.55,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.0005},87.45,84.72,0.85,0.85,0.85,124.0,20.0,24.0,120.0,Ensemble,86.58,82.29,0.82,0.82,0.82,117.0,27.0,24.0,120.0,Ensemble,85.71,81.6,0.82,0.82,0.82,115.0,29.0,24.0,120.0,Ensemble,87.45,84.38,0.84,0.84,0.84,120.0,24.0,21.0,123.0,Ensemble,84.85,83.33,0.83,0.83,0.83,116.0,28.0,20.0,124.0,Ensemble,87.88,82.64,0.83,0.83,0.83,120.0,24.0,26.0,118.0,Ensemble,87.01,83.68,0.84,0.84,0.84,119.0,25.0,22.0,122.0
6,{'logisticregression__C': 0.001},85.71,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,116.0,28.0,24.0,120.0,{'logisticregression__C': 0.001},84.85,80.21,0.8,0.8,0.8,116.0,28.0,29.0,115.0,{'logisticregression__C': 0.0001},83.12,82.29,0.82,0.82,0.82,120.0,24.0,27.0,117.0,{'logisticregression__C': 0.0001},83.55,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,{'logisticregression__C': 0.0001},82.68,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.001},83.98,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,Ensemble,83.98,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,85.28,83.68,0.84,0.84,0.84,116.0,28.0,19.0,125.0,Ensemble,83.12,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,Ensemble,86.15,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,Ensemble,84.42,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,Ensemble,86.58,84.03,0.84,0.84,0.84,118.0,26.0,20.0,124.0
7,{'logisticregression__C': 0.001},80.95,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.0001},83.98,79.51,0.79,0.8,0.8,109.0,35.0,24.0,120.0,{'logisticregression__C': 0.0005},83.12,80.56,0.81,0.81,0.81,116.0,28.0,28.0,116.0,{'logisticregression__C': 0.0005},83.55,81.6,0.82,0.82,0.82,118.0,26.0,27.0,117.0,{'logisticregression__C': 0.001},79.22,79.86,0.8,0.8,0.8,114.0,30.0,28.0,116.0,{'logisticregression__C': 0.0001},82.25,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,{'logisticregression__C': 0.001},83.12,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,81.39,82.64,0.83,0.83,0.83,117.0,27.0,23.0,121.0,Ensemble,82.68,81.6,0.82,0.82,0.82,114.0,30.0,23.0,121.0,Ensemble,83.12,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,83.12,81.25,0.81,0.81,0.81,115.0,29.0,25.0,119.0,Ensemble,80.95,80.9,0.81,0.81,0.81,116.0,28.0,27.0,117.0,Ensemble,83.12,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0
8,{'logisticregression__C': 0.001},78.79,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.0005},78.35,83.33,0.83,0.83,0.83,117.0,27.0,21.0,123.0,{'logisticregression__C': 0.0005},80.52,80.9,0.81,0.81,0.81,121.0,23.0,32.0,112.0,{'logisticregression__C': 0.0005},80.09,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.0001},80.52,79.86,0.8,0.8,0.8,116.0,28.0,30.0,114.0,{'logisticregression__C': 0.001},83.98,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,{'logisticregression__C': 0.001},83.12,83.33,0.83,0.83,0.83,121.0,23.0,25.0,119.0,Ensemble,80.95,84.38,0.84,0.84,0.84,120.0,24.0,21.0,123.0,Ensemble,79.65,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,Ensemble,80.52,84.38,0.84,0.84,0.84,120.0,24.0,21.0,123.0,Ensemble,80.09,84.38,0.84,0.85,0.84,117.0,27.0,18.0,126.0,Ensemble,80.09,84.38,0.84,0.84,0.84,120.0,24.0,21.0,123.0,Ensemble,80.95,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0
9,{'logisticregression__C': 0.0005},83.12,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,{'logisticregression__C': 0.0001},83.12,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,{'logisticregression__C': 0.001},81.82,81.94,0.82,0.82,0.82,123.0,21.0,31.0,113.0,{'logisticregression__C': 0.0001},83.12,82.64,0.83,0.83,0.83,122.0,22.0,28.0,116.0,{'logisticregression__C': 0.0005},83.98,80.9,0.81,0.81,0.81,117.0,27.0,28.0,116.0,{'logisticregression__C': 0.0001},81.39,85.42,0.85,0.85,0.85,123.0,21.0,21.0,123.0,{'logisticregression__C': 0.0005},83.98,84.38,0.84,0.84,0.84,125.0,19.0,26.0,118.0,Ensemble,85.28,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,84.85,85.07,0.85,0.85,0.85,121.0,23.0,20.0,124.0,Ensemble,84.42,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,Ensemble,85.28,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,Ensemble,86.58,82.64,0.83,0.83,0.83,122.0,22.0,28.0,116.0,Ensemble,84.85,87.15,0.87,0.87,0.87,126.0,18.0,19.0,125.0
