Counter,IncResNetV2 Best Param,IncResNetV2 Val Acc,IncResNetV2 Test Acc,IncResNetV2 F1 score,IncResNetV2 Precision,IncResNetV2 Recall,IncResNetV2 True Neg.,IncResNetV2 False Pos.,IncResNetV2 False Neg.,IncResNetV2 True Pos.,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 Best Param,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 Val Acc,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 Test Acc,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 F1 score,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 Precision,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 Recall,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 True Neg.,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 False Pos.,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 False Neg.,FeatSpaceEnsNet 5: ResNet50 & ResNet101 & ResNet152 True Pos.,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 Best Param,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 Val Acc,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 Test Acc,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 F1 score,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 Precision,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 Recall,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 True Neg.,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 False Pos.,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 False Neg.,FeatSpaceEnsNet 6: ResNet50 & ResNet101 & InceptionResNetV2 True Pos.
0,{'logisticregression__C': 0.0005},84.42,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,{'logisticregression__C': 0.0005},83.12,82.99,0.83,0.83,0.83,121.0,23.0,26.0,118.0,{'logisticregression__C': 0.001},84.85,85.07,0.85,0.85,0.85,124.0,20.0,23.0,121.0
1,{'logisticregression__C': 0.0001},80.52,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,{'logisticregression__C': 0.0005},84.85,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.001},81.82,84.03,0.84,0.84,0.84,125.0,19.0,27.0,117.0
2,{'logisticregression__C': 0.0001},85.71,82.29,0.82,0.82,0.82,120.0,24.0,27.0,117.0,{'logisticregression__C': 0.001},83.98,84.38,0.84,0.84,0.84,121.0,23.0,22.0,122.0,{'logisticregression__C': 0.0005},84.85,84.38,0.84,0.84,0.84,124.0,20.0,25.0,119.0
3,{'logisticregression__C': 0.0001},80.95,84.03,0.84,0.84,0.84,123.0,21.0,25.0,119.0,{'logisticregression__C': 0.001},85.71,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0,{'logisticregression__C': 0.001},83.55,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0
4,{'logisticregression__C': 0.0005},80.52,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0,{'logisticregression__C': 0.0001},85.71,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,{'logisticregression__C': 0.001},84.42,86.46,0.86,0.86,0.86,125.0,19.0,20.0,124.0
5,{'logisticregression__C': 0.0001},83.55,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.0001},85.71,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.0001},85.71,82.99,0.83,0.83,0.83,122.0,22.0,27.0,117.0
6,{'logisticregression__C': 0.0001},82.68,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.001},83.55,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0,{'logisticregression__C': 0.0005},84.42,84.38,0.84,0.84,0.84,122.0,22.0,23.0,121.0
7,{'logisticregression__C': 0.0001},82.25,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,{'logisticregression__C': 0.0001},81.39,82.29,0.82,0.82,0.82,119.0,25.0,26.0,118.0,{'logisticregression__C': 0.001},84.85,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0
8,{'logisticregression__C': 0.001},83.98,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,{'logisticregression__C': 0.001},80.95,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.001},81.39,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0
9,{'logisticregression__C': 0.0001},81.39,85.42,0.85,0.85,0.85,123.0,21.0,21.0,123.0,{'logisticregression__C': 0.0005},84.85,82.99,0.83,0.83,0.83,121.0,23.0,26.0,118.0,{'logisticregression__C': 0.0001},83.55,85.07,0.85,0.85,0.85,123.0,21.0,22.0,122.0
4.5,,82.59700000000001,83.369,0.833,0.833,0.833,120.1,23.9,24.0,120.0,,83.982,83.44,0.834,0.834,0.834,120.1,23.9,23.8,120.2,,83.94099999999999,84.377,0.843,0.843,0.843,122.8,21.2,23.8,120.2
9.166666666666666,,3.195512222222222,0.7633211111111122,6.777777777777789e-05,6.777777777777789e-05,6.777777777777789e-05,3.433333333333333,3.433333333333334,2.888888888888889,2.888888888888889,,3.0339955555555433,0.4575555555555559,4.888888888888898e-05,4.888888888888898e-05,4.888888888888898e-05,0.9888888888888887,0.9888888888888887,3.066666666666667,3.066666666666666,,1.931009999999998,1.0967566666666635,9.000000000000017e-05,9.000000000000017e-05,9.000000000000017e-05,2.844444444444444,2.8444444444444446,5.066666666666666,5.066666666666666
