Counter,ResNet50 FT Dropout: 0.2 Test Acc B4 Unfreezing Last Conv Layer,ResNet50 FT Dropout: 0.2 Val Acc,ResNet50 FT Dropout: 0.2 Test Acc,ResNet50 FT Dropout: 0.2 F1 score,ResNet50 FT Dropout: 0.2 Precision,ResNet50 FT Dropout: 0.2 Recall,ResNet50 FT Dropout: 0.2 True Neg.,ResNet50 FT Dropout: 0.2 False Pos.,ResNet50 FT Dropout: 0.2 False Neg.,ResNet50 FT Dropout: 0.2 True Pos.,ResNet50 FT Dropout: 0.3 Test Acc B4 Unfreezing Last Conv Layer,ResNet50 FT Dropout: 0.3 Val Acc,ResNet50 FT Dropout: 0.3 Test Acc,ResNet50 FT Dropout: 0.3 F1 score,ResNet50 FT Dropout: 0.3 Precision,ResNet50 FT Dropout: 0.3 Recall,ResNet50 FT Dropout: 0.3 True Neg.,ResNet50 FT Dropout: 0.3 False Pos.,ResNet50 FT Dropout: 0.3 False Neg.,ResNet50 FT Dropout: 0.3 True Pos.,ResNet50 FT Dropout: 0.4 Test Acc B4 Unfreezing Last Conv Layer,ResNet50 FT Dropout: 0.4 Val Acc,ResNet50 FT Dropout: 0.4 Test Acc,ResNet50 FT Dropout: 0.4 F1 score,ResNet50 FT Dropout: 0.4 Precision,ResNet50 FT Dropout: 0.4 Recall,ResNet50 FT Dropout: 0.4 True Neg.,ResNet50 FT Dropout: 0.4 False Pos.,ResNet50 FT Dropout: 0.4 False Neg.,ResNet50 FT Dropout: 0.4 True Pos.,EfficientNet B4 FT Dropout: 0.2 Test Acc B4 Unfreezing Last Conv Layer,EfficientNet B4 FT Dropout: 0.2 Val Acc,EfficientNet B4 FT Dropout: 0.2 Test Acc,EfficientNet B4 FT Dropout: 0.2 F1 score,EfficientNet B4 FT Dropout: 0.2 Precision,EfficientNet B4 FT Dropout: 0.2 Recall,EfficientNet B4 FT Dropout: 0.2 True Neg.,EfficientNet B4 FT Dropout: 0.2 False Pos.,EfficientNet B4 FT Dropout: 0.2 False Neg.,EfficientNet B4 FT Dropout: 0.2 True Pos.,EfficientNet B4 FT Dropout: 0.3 Test Acc B4 Unfreezing Last Conv Layer,EfficientNet B4 FT Dropout: 0.3 Val Acc,EfficientNet B4 FT Dropout: 0.3 Test Acc,EfficientNet B4 FT Dropout: 0.3 F1 score,EfficientNet B4 FT Dropout: 0.3 Precision,EfficientNet B4 FT Dropout: 0.3 Recall,EfficientNet B4 FT Dropout: 0.3 True Neg.,EfficientNet B4 FT Dropout: 0.3 False Pos.,EfficientNet B4 FT Dropout: 0.3 False Neg.,EfficientNet B4 FT Dropout: 0.3 True Pos.,EfficientNet B4 FT Dropout: 0.4 Test Acc B4 Unfreezing Last Conv Layer,EfficientNet B4 FT Dropout: 0.4 Val Acc,EfficientNet B4 FT Dropout: 0.4 Test Acc,EfficientNet B4 FT Dropout: 0.4 F1 score,EfficientNet B4 FT Dropout: 0.4 Precision,EfficientNet B4 FT Dropout: 0.4 Recall,EfficientNet B4 FT Dropout: 0.4 True Neg.,EfficientNet B4 FT Dropout: 0.4 False Pos.,EfficientNet B4 FT Dropout: 0.4 False Neg.,EfficientNet B4 FT Dropout: 0.4 True Pos.,Ensemble of 1 & 2 Test Acc B4 Unfreezing Last Conv Layer,Ensemble of 1 & 2 Val Acc,Ensemble of 1 & 2 Test Acc,Ensemble of 1 & 2 F1 score,Ensemble of 1 & 2 Precision,Ensemble of 1 & 2 Recall,Ensemble of 1 & 2 True Neg.,Ensemble of 1 & 2 False Pos.,Ensemble of 1 & 2 False Neg.,Ensemble of 1 & 2 True Pos.
0,74.65,83.55,77.78,0.78,0.78,0.78,106.0,38.0,26.0,118.0,50.0,52.38,51.39,0.36,0.75,0.51,144.0,0.0,140.0,4.0,75.69,74.89,76.39,0.76,0.77,0.76,123.0,21.0,47.0,97.0,61.11,75.32,69.79,0.7,0.7,0.7,96.0,48.0,39.0,105.0,61.46,61.47,64.58,0.62,0.69,0.65,129.0,15.0,87.0,57.0,58.33,59.31,61.81,0.56,0.74,0.62,140.0,4.0,106.0,38.0,N/A,70.13,65.97,0.63,0.72,0.66,133.0,11.0,87.0,57.0
1,67.71,68.4,68.06,0.66,0.75,0.68,136.0,8.0,84.0,60.0,71.88,68.4,71.53,0.71,0.73,0.72,120.0,24.0,58.0,86.0,53.82,54.98,53.47,0.42,0.67,0.53,141.0,3.0,131.0,13.0,63.19,58.01,65.97,0.63,0.73,0.66,135.0,9.0,89.0,55.0,66.32,71.86,68.4,0.68,0.69,0.68,91.0,53.0,38.0,106.0,64.24,65.37,67.01,0.65,0.72,0.67,130.0,14.0,81.0,63.0,N/A,70.56,70.83,0.69,0.76,0.71,134.0,10.0,74.0,70.0
2,69.44,69.26,70.14,0.7,0.72,0.7,121.0,23.0,63.0,81.0,50.69,50.22,50.35,0.35,0.58,0.5,143.0,1.0,142.0,2.0,59.03,58.44,62.15,0.6,0.66,0.62,123.0,21.0,88.0,56.0,61.11,63.64,62.15,0.6,0.65,0.62,120.0,24.0,85.0,59.0,62.15,64.94,65.62,0.64,0.69,0.66,126.0,18.0,81.0,63.0,67.71,70.13,66.67,0.67,0.67,0.67,101.0,43.0,53.0,91.0,N/A,62.77,64.24,0.61,0.72,0.64,136.0,8.0,95.0,49.0
3,72.57,77.49,74.65,0.75,0.75,0.75,112.0,32.0,41.0,103.0,73.61,80.52,75.35,0.75,0.77,0.75,90.0,54.0,17.0,127.0,52.43,54.55,52.78,0.41,0.65,0.53,141.0,3.0,133.0,11.0,68.4,68.4,66.67,0.66,0.69,0.67,121.0,23.0,73.0,71.0,54.17,54.11,54.17,0.45,0.63,0.54,137.0,7.0,125.0,19.0,62.5,69.7,66.32,0.65,0.68,0.66,119.0,25.0,72.0,72.0,N/A,81.39,78.47,0.78,0.79,0.78,106.0,38.0,24.0,120.0
4,75.35,71.0,75.35,0.75,0.79,0.75,133.0,11.0,60.0,84.0,72.22,71.86,72.57,0.72,0.74,0.73,121.0,23.0,56.0,88.0,78.12,79.22,79.51,0.8,0.8,0.8,118.0,26.0,33.0,111.0,60.76,67.53,64.93,0.63,0.68,0.65,124.0,20.0,81.0,63.0,52.78,57.14,56.94,0.48,0.75,0.57,143.0,1.0,123.0,21.0,55.21,64.07,56.94,0.51,0.63,0.57,131.0,13.0,111.0,33.0,N/A,73.59,74.31,0.74,0.77,0.74,128.0,16.0,58.0,86.0
5,77.43,79.65,77.78,0.78,0.78,0.78,119.0,25.0,39.0,105.0,62.85,65.37,63.19,0.61,0.67,0.63,124.0,20.0,86.0,58.0,59.03,55.84,60.76,0.54,0.77,0.61,143.0,1.0,112.0,32.0,67.01,70.13,67.36,0.67,0.68,0.67,106.0,38.0,56.0,88.0,71.53,73.59,72.57,0.73,0.73,0.73,106.0,38.0,41.0,103.0,65.28,67.1,68.75,0.68,0.7,0.69,116.0,28.0,62.0,82.0,N/A,74.03,69.79,0.69,0.73,0.7,126.0,18.0,69.0,75.0
6,60.42,67.97,60.07,0.56,0.67,0.6,132.0,12.0,103.0,41.0,75.69,76.19,76.74,0.76,0.78,0.77,126.0,18.0,49.0,95.0,63.19,67.97,63.19,0.61,0.66,0.63,122.0,22.0,84.0,60.0,67.71,67.53,67.36,0.66,0.71,0.67,126.0,18.0,76.0,68.0,67.71,74.03,68.75,0.68,0.7,0.69,119.0,25.0,65.0,79.0,66.67,65.37,65.97,0.65,0.69,0.66,124.0,20.0,78.0,66.0,N/A,72.73,67.01,0.65,0.71,0.67,128.0,16.0,79.0,65.0
7,71.18,71.0,69.1,0.69,0.69,0.69,106.0,38.0,51.0,93.0,62.15,64.07,63.89,0.61,0.7,0.64,132.0,12.0,92.0,52.0,62.85,62.34,61.46,0.58,0.67,0.61,129.0,15.0,96.0,48.0,60.07,58.87,60.76,0.58,0.64,0.61,122.0,22.0,91.0,53.0,69.44,71.0,69.79,0.69,0.71,0.7,117.0,27.0,60.0,84.0,57.64,54.55,57.64,0.53,0.63,0.58,129.0,15.0,107.0,37.0,N/A,71.0,67.71,0.67,0.7,0.68,123.0,21.0,72.0,72.0
8,67.36,71.0,67.01,0.66,0.69,0.67,117.0,27.0,68.0,76.0,69.44,71.86,70.14,0.7,0.71,0.7,116.0,28.0,58.0,86.0,77.43,78.35,76.39,0.76,0.77,0.76,100.0,44.0,24.0,120.0,51.74,57.14,55.56,0.47,0.67,0.56,139.0,5.0,123.0,21.0,64.24,68.4,63.89,0.63,0.66,0.64,116.0,28.0,76.0,68.0,61.46,69.7,66.32,0.66,0.67,0.66,104.0,40.0,57.0,87.0,N/A,69.7,68.75,0.68,0.7,0.69,119.0,25.0,65.0,79.0
9,61.81,61.47,62.5,0.6,0.67,0.62,128.0,16.0,92.0,52.0,75.0,76.19,75.35,0.75,0.76,0.75,117.0,27.0,44.0,100.0,71.18,76.19,70.83,0.7,0.72,0.71,120.0,24.0,60.0,84.0,67.71,69.7,73.61,0.74,0.74,0.74,97.0,47.0,29.0,115.0,55.56,57.58,58.33,0.51,0.72,0.58,141.0,3.0,117.0,27.0,64.58,64.5,67.36,0.67,0.68,0.67,112.0,32.0,62.0,82.0,N/A,70.13,68.75,0.67,0.73,0.69,129.0,15.0,75.0,69.0
