Counter,ResNet50 FT Seed 7 Dropout: 0.2 Test Acc B4 Unfreezing Last Conv Layer,ResNet50 FT Seed 7 Dropout: 0.2 Val Acc,ResNet50 FT Seed 7 Dropout: 0.2 Test Acc,ResNet50 FT Seed 7 Dropout: 0.2 F1 score,ResNet50 FT Seed 7 Dropout: 0.2 Precision,ResNet50 FT Seed 7 Dropout: 0.2 Recall,ResNet50 FT Seed 7 Dropout: 0.2 True Neg.,ResNet50 FT Seed 7 Dropout: 0.2 False Pos.,ResNet50 FT Seed 7 Dropout: 0.2 False Neg.,ResNet50 FT Seed 7 Dropout: 0.2 True Pos.,ResNet50 FT Seed 7 Dropout: 0.3 Test Acc B4 Unfreezing Last Conv Layer,ResNet50 FT Seed 7 Dropout: 0.3 Val Acc,ResNet50 FT Seed 7 Dropout: 0.3 Test Acc,ResNet50 FT Seed 7 Dropout: 0.3 F1 score,ResNet50 FT Seed 7 Dropout: 0.3 Precision,ResNet50 FT Seed 7 Dropout: 0.3 Recall,ResNet50 FT Seed 7 Dropout: 0.3 True Neg.,ResNet50 FT Seed 7 Dropout: 0.3 False Pos.,ResNet50 FT Seed 7 Dropout: 0.3 False Neg.,ResNet50 FT Seed 7 Dropout: 0.3 True Pos.,ResNet50 FT Seed 7 Dropout: 0.4 Test Acc B4 Unfreezing Last Conv Layer,ResNet50 FT Seed 7 Dropout: 0.4 Val Acc,ResNet50 FT Seed 7 Dropout: 0.4 Test Acc,ResNet50 FT Seed 7 Dropout: 0.4 F1 score,ResNet50 FT Seed 7 Dropout: 0.4 Precision,ResNet50 FT Seed 7 Dropout: 0.4 Recall,ResNet50 FT Seed 7 Dropout: 0.4 True Neg.,ResNet50 FT Seed 7 Dropout: 0.4 False Pos.,ResNet50 FT Seed 7 Dropout: 0.4 False Neg.,ResNet50 FT Seed 7 Dropout: 0.4 True Pos.,EfficientNet B4 Seed 7 FT Dropout: 0.2 Test Acc B4 Unfreezing Last Conv Layer,EfficientNet B4 Seed 7 FT Dropout: 0.2 Val Acc,EfficientNet B4 Seed 7 FT Dropout: 0.2 Test Acc,EfficientNet B4 Seed 7 FT Dropout: 0.2 F1 score,EfficientNet B4 Seed 7 FT Dropout: 0.2 Precision,EfficientNet B4 Seed 7 FT Dropout: 0.2 Recall,EfficientNet B4 Seed 7 FT Dropout: 0.2 True Neg.,EfficientNet B4 Seed 7 FT Dropout: 0.2 False Pos.,EfficientNet B4 Seed 7 FT Dropout: 0.2 False Neg.,EfficientNet B4 Seed 7 FT Dropout: 0.2 True Pos.,EfficientNet B4 Seed 7 FT Dropout: 0.3 Test Acc B4 Unfreezing Last Conv Layer,EfficientNet B4 Seed 7 FT Dropout: 0.3 Val Acc,EfficientNet B4 Seed 7 FT Dropout: 0.3 Test Acc,EfficientNet B4 Seed 7 FT Dropout: 0.3 F1 score,EfficientNet B4 Seed 7 FT Dropout: 0.3 Precision,EfficientNet B4 Seed 7 FT Dropout: 0.3 Recall,EfficientNet B4 Seed 7 FT Dropout: 0.3 True Neg.,EfficientNet B4 Seed 7 FT Dropout: 0.3 False Pos.,EfficientNet B4 Seed 7 FT Dropout: 0.3 False Neg.,EfficientNet B4 Seed 7 FT Dropout: 0.3 True Pos.,EfficientNet B4 Seed 7 FT Dropout: 0.4 Test Acc B4 Unfreezing Last Conv Layer,EfficientNet B4 Seed 7 FT Dropout: 0.4 Val Acc,EfficientNet B4 Seed 7 FT Dropout: 0.4 Test Acc,EfficientNet B4 Seed 7 FT Dropout: 0.4 F1 score,EfficientNet B4 Seed 7 FT Dropout: 0.4 Precision,EfficientNet B4 Seed 7 FT Dropout: 0.4 Recall,EfficientNet B4 Seed 7 FT Dropout: 0.4 True Neg.,EfficientNet B4 Seed 7 FT Dropout: 0.4 False Pos.,EfficientNet B4 Seed 7 FT Dropout: 0.4 False Neg.,EfficientNet B4 Seed 7 FT Dropout: 0.4 True Pos.,Ensemble of 1 & 2 Test Acc B4 Unfreezing Last Conv Layer,Ensemble of 1 & 2 Val Acc,Ensemble of 1 & 2 Test Acc,Ensemble of 1 & 2 F1 score,Ensemble of 1 & 2 Precision,Ensemble of 1 & 2 Recall,Ensemble of 1 & 2 True Neg.,Ensemble of 1 & 2 False Pos.,Ensemble of 1 & 2 False Neg.,Ensemble of 1 & 2 True Pos.
0,73.26,80.09,73.96,0.74,0.74,0.74,108.0,36.0,39.0,105.0,68.06,67.1,68.06,0.67,0.69,0.68,117.0,27.0,65.0,79.0,60.07,60.17,60.42,0.55,0.7,0.6,137.0,7.0,107.0,37.0,68.75,78.79,75.69,0.76,0.76,0.76,114.0,30.0,40.0,104.0,70.49,66.67,69.44,0.68,0.73,0.69,129.0,15.0,73.0,71.0,68.06,65.37,71.18,0.71,0.73,0.71,122.0,22.0,61.0,83.0,N/A,74.03,73.96,0.74,0.75,0.74,119.0,25.0,50.0,94.0
1,71.53,78.35,71.53,0.71,0.72,0.72,94.0,50.0,32.0,112.0,73.61,77.92,76.74,0.77,0.77,0.77,115.0,29.0,38.0,106.0,72.92,72.29,72.22,0.72,0.73,0.72,120.0,24.0,56.0,88.0,66.32,66.23,69.44,0.68,0.73,0.69,128.0,16.0,72.0,72.0,65.28,62.34,68.4,0.66,0.75,0.68,135.0,9.0,82.0,62.0,65.97,64.94,74.31,0.74,0.76,0.74,126.0,18.0,56.0,88.0,N/A,81.82,73.26,0.73,0.73,0.73,100.0,44.0,33.0,111.0
2,65.97,67.53,66.32,0.64,0.72,0.66,131.0,13.0,84.0,60.0,72.92,71.43,72.92,0.72,0.76,0.73,128.0,16.0,62.0,82.0,74.31,77.92,73.61,0.74,0.74,0.74,111.0,33.0,43.0,101.0,59.38,58.87,63.19,0.58,0.78,0.63,143.0,1.0,105.0,39.0,52.78,56.71,57.29,0.48,0.73,0.57,142.0,2.0,121.0,23.0,69.1,66.23,72.22,0.72,0.74,0.72,125.0,19.0,61.0,83.0,N/A,68.83,71.18,0.7,0.75,0.71,132.0,12.0,71.0,73.0
3,71.18,78.79,72.22,0.72,0.72,0.72,98.0,46.0,34.0,110.0,53.47,54.55,56.6,0.49,0.66,0.57,137.0,7.0,118.0,26.0,73.96,73.16,75.35,0.75,0.76,0.75,117.0,27.0,44.0,100.0,62.85,60.61,66.67,0.64,0.73,0.67,133.0,11.0,85.0,59.0,56.94,56.71,59.72,0.53,0.72,0.6,140.0,4.0,112.0,32.0,70.83,69.26,72.57,0.72,0.75,0.73,128.0,16.0,63.0,81.0,N/A,74.03,72.57,0.72,0.74,0.73,120.0,24.0,55.0,89.0
4,75.0,79.22,75.35,0.75,0.75,0.75,110.0,34.0,37.0,107.0,77.08,77.49,77.08,0.77,0.78,0.77,122.0,22.0,44.0,100.0,77.08,83.98,77.78,0.78,0.78,0.78,112.0,32.0,32.0,112.0,66.67,68.4,70.49,0.7,0.73,0.7,124.0,20.0,65.0,79.0,61.46,59.31,62.85,0.59,0.72,0.63,137.0,7.0,100.0,44.0,63.54,61.9,65.97,0.64,0.71,0.66,131.0,13.0,85.0,59.0,N/A,77.92,77.43,0.77,0.78,0.77,118.0,26.0,39.0,105.0
5,73.26,78.35,74.31,0.74,0.74,0.74,112.0,32.0,42.0,102.0,79.51,80.52,78.82,0.79,0.79,0.79,120.0,24.0,37.0,107.0,69.1,82.25,73.96,0.74,0.74,0.74,107.0,37.0,38.0,106.0,70.83,68.4,73.61,0.73,0.77,0.74,132.0,12.0,64.0,80.0,67.36,63.64,71.88,0.71,0.75,0.72,129.0,15.0,66.0,78.0,65.62,61.04,64.58,0.61,0.73,0.65,137.0,7.0,95.0,49.0,N/A,82.25,79.51,0.79,0.8,0.8,121.0,23.0,36.0,108.0
6,61.46,66.23,61.11,0.57,0.68,0.61,132.0,12.0,100.0,44.0,77.08,71.86,76.39,0.76,0.79,0.76,131.0,13.0,55.0,89.0,80.21,82.25,80.21,0.8,0.8,0.8,119.0,25.0,32.0,112.0,66.67,65.8,71.18,0.71,0.72,0.71,118.0,26.0,57.0,87.0,50.0,51.52,50.0,0.34,0.5,0.5,143.0,1.0,143.0,1.0,71.88,68.83,73.96,0.74,0.74,0.74,108.0,36.0,39.0,105.0,N/A,67.1,69.1,0.67,0.74,0.69,132.0,12.0,77.0,67.0
7,76.74,75.76,77.43,0.77,0.78,0.77,118.0,26.0,39.0,105.0,56.25,54.98,54.86,0.45,0.69,0.55,141.0,3.0,127.0,17.0,67.36,69.26,67.36,0.65,0.73,0.67,132.0,12.0,82.0,62.0,68.06,65.37,68.4,0.66,0.76,0.68,137.0,7.0,84.0,60.0,61.81,60.61,64.24,0.61,0.71,0.64,133.0,11.0,92.0,52.0,64.24,67.1,68.75,0.67,0.75,0.69,134.0,10.0,80.0,64.0,N/A,73.59,73.61,0.73,0.78,0.74,134.0,10.0,66.0,78.0
8,71.88,74.89,70.49,0.7,0.73,0.7,125.0,19.0,66.0,78.0,72.92,70.13,72.22,0.71,0.75,0.72,128.0,16.0,64.0,80.0,56.94,58.44,60.07,0.53,0.76,0.6,143.0,1.0,114.0,30.0,75.35,68.83,72.22,0.71,0.76,0.72,130.0,14.0,66.0,78.0,64.93,72.73,71.88,0.72,0.73,0.72,116.0,28.0,53.0,91.0,66.32,69.7,72.57,0.73,0.73,0.73,109.0,35.0,44.0,100.0,N/A,72.73,72.92,0.72,0.75,0.73,127.0,17.0,61.0,83.0
9,78.12,78.35,76.39,0.76,0.77,0.76,100.0,44.0,24.0,120.0,74.65,81.82,74.31,0.74,0.75,0.74,96.0,48.0,26.0,118.0,51.04,51.52,51.74,0.37,0.75,0.52,144.0,0.0,139.0,5.0,65.28,70.13,72.57,0.72,0.74,0.73,123.0,21.0,58.0,86.0,63.54,65.37,65.28,0.63,0.7,0.65,130.0,14.0,86.0,58.0,68.4,65.8,68.06,0.66,0.74,0.68,133.0,11.0,81.0,63.0,N/A,81.39,76.39,0.76,0.77,0.76,99.0,45.0,23.0,121.0
