Counter,HoG MLP Best Param,HoG MLP Val Acc,HoG MLP Test Acc,HoG MLP F1 score,HoG MLP Precision,HoG MLP Recall,HoG MLP True Neg.,HoG MLP False Pos.,HoG MLP False Neg.,HoG MLP True Pos.,LBP MLP Best Param,LBP MLP Val Acc,LBP MLP Test Acc,LBP MLP F1 score,LBP MLP Precision,LBP MLP Recall,LBP MLP True Neg.,LBP MLP False Pos.,LBP MLP False Neg.,LBP MLP True Pos.,HoG + LBP MLP Best Param,HoG + LBP MLP Val Acc,HoG + LBP MLP Test Acc,HoG + LBP MLP F1 score,HoG + LBP MLP Precision,HoG + LBP MLP Recall,HoG + LBP MLP True Neg.,HoG + LBP MLP False Pos.,HoG + LBP MLP False Neg.,HoG + LBP MLP True Pos.
0,{'mlpclassifier__alpha': 0.1},62.34,62.5,0.62,0.63,0.62,77.0,67.0,41.0,103.0,{'mlpclassifier__alpha': 0.1},67.1,67.71,0.68,0.68,0.68,91.0,53.0,40.0,104.0,{'mlpclassifier__alpha': 0.001},57.58,59.03,0.59,0.59,0.59,72.0,72.0,46.0,98.0
1,{'mlpclassifier__alpha': 0.001},57.14,58.68,0.58,0.59,0.59,73.0,71.0,48.0,96.0,{'mlpclassifier__alpha': 1.0},67.53,64.24,0.64,0.65,0.64,81.0,63.0,40.0,104.0,{'mlpclassifier__alpha': 0.01},56.28,60.07,0.6,0.6,0.6,76.0,68.0,47.0,97.0
2,{'mlpclassifier__alpha': 1.0},65.37,61.11,0.6,0.62,0.61,68.0,76.0,36.0,108.0,{'mlpclassifier__alpha': 1.0},67.97,62.5,0.62,0.63,0.62,89.0,55.0,53.0,91.0,{'mlpclassifier__alpha': 0.01},58.44,57.29,0.56,0.58,0.57,63.0,81.0,42.0,102.0
3,{'mlpclassifier__alpha': 0.01},58.01,60.76,0.6,0.61,0.61,73.0,71.0,42.0,102.0,{'mlpclassifier__alpha': 0.01},64.5,64.24,0.64,0.65,0.64,79.0,65.0,38.0,106.0,{'mlpclassifier__alpha': 0.01},61.04,60.76,0.6,0.61,0.61,71.0,73.0,40.0,104.0
4,{'mlpclassifier__alpha': 0.001},65.8,57.29,0.57,0.58,0.57,67.0,77.0,46.0,98.0,{'mlpclassifier__alpha': 1.0},67.97,66.32,0.66,0.66,0.66,99.0,45.0,52.0,92.0,{'mlpclassifier__alpha': 1.0},58.87,60.42,0.6,0.6,0.6,93.0,51.0,63.0,81.0
5,{'mlpclassifier__alpha': 0.01},62.34,57.99,0.57,0.59,0.58,57.0,87.0,34.0,110.0,{'mlpclassifier__alpha': 1.0},60.61,70.14,0.7,0.7,0.7,101.0,43.0,43.0,101.0,{'mlpclassifier__alpha': 0.001},62.77,59.72,0.6,0.6,0.6,83.0,61.0,55.0,89.0
6,{'mlpclassifier__alpha': 0.01},63.2,59.03,0.58,0.6,0.59,68.0,76.0,42.0,102.0,{'mlpclassifier__alpha': 1.0},68.83,68.4,0.68,0.69,0.68,90.0,54.0,37.0,107.0,{'mlpclassifier__alpha': 0.01},60.17,61.11,0.61,0.61,0.61,78.0,66.0,46.0,98.0
7,{'mlpclassifier__alpha': 0.01},59.31,60.07,0.6,0.6,0.6,77.0,67.0,48.0,96.0,{'mlpclassifier__alpha': 1.0},66.67,67.36,0.67,0.68,0.67,84.0,60.0,34.0,110.0,{'mlpclassifier__alpha': 0.001},59.74,60.42,0.6,0.6,0.6,86.0,58.0,56.0,88.0
8,{'mlpclassifier__alpha': 0.001},61.47,60.07,0.6,0.61,0.6,70.0,74.0,41.0,103.0,{'mlpclassifier__alpha': 1.0},67.53,64.24,0.64,0.64,0.64,90.0,54.0,49.0,95.0,{'mlpclassifier__alpha': 0.1},60.61,60.07,0.6,0.6,0.6,79.0,65.0,50.0,94.0
9,{'mlpclassifier__alpha': 0.01},61.47,60.42,0.6,0.61,0.6,66.0,78.0,36.0,108.0,{'mlpclassifier__alpha': 0.1},64.5,68.75,0.69,0.69,0.69,98.0,46.0,44.0,100.0,{'mlpclassifier__alpha': 0.001},61.9,60.76,0.6,0.62,0.61,64.0,80.0,33.0,111.0
4.5,,61.645,59.791999999999994,0.5919999999999999,0.6040000000000001,0.5969999999999999,69.6,74.4,41.4,102.6,,66.321,66.39,0.6619999999999999,0.667,0.6619999999999999,90.2,53.8,43.0,101.0,,59.739999999999995,59.964999999999996,0.5959999999999999,0.601,0.599,76.5,67.5,47.8,96.2
9.166666666666666,,8.17171666666667,2.4311955555555547,0.0002622222222222227,0.00022666666666666706,0.00022333333333333374,35.15555555555555,35.15555555555555,24.711111111111112,24.71111111111111,,6.070343333333331,6.151111111111119,0.000684444444444444,0.0005788888888888879,0.000684444444444444,56.177777777777784,56.177777777777784,42.0,42.0,,3.9513777777777808,1.2334499999999997,0.00018222222222222164,0.00012111111111111133,0.00014333333333333356,89.16666666666667,89.16666666666667,75.06666666666666,75.06666666666666
3.0276503540974917,,2.858621462640108,1.559229154279625,0.01619327706865484,0.015055453054181633,0.014944341180973276,5.929212051829109,5.929212051829109,4.971027168615266,4.971027168615266,,2.463806675316335,2.4801433650317715,0.02616188916046477,0.024060109910158098,0.02616188916046477,7.495183638696105,7.495183638696105,6.48074069840786,6.48074069840786,,1.9878072788320755,1.110607941624766,0.013498971154211037,0.011005049346146129,0.011972189997378656,9.44281031614353,9.44281031614353,8.66410218468519,8.66410218468519
