Counter,HoG MLP Best Param,HoG MLP Val Acc,HoG MLP Test Acc,HoG MLP F1 score,HoG MLP Precision,HoG MLP Recall,HoG MLP True Neg.,HoG MLP False Pos.,HoG MLP False Neg.,HoG MLP True Pos.,LBP MLP Best Param,LBP MLP Val Acc,LBP MLP Test Acc,LBP MLP F1 score,LBP MLP Precision,LBP MLP Recall,LBP MLP True Neg.,LBP MLP False Pos.,LBP MLP False Neg.,LBP MLP True Pos.,HoG + LBP MLP Best Param,HoG + LBP MLP Val Acc,HoG + LBP MLP Test Acc,HoG + LBP MLP F1 score,HoG + LBP MLP Precision,HoG + LBP MLP Recall,HoG + LBP MLP True Neg.,HoG + LBP MLP False Pos.,HoG + LBP MLP False Neg.,HoG + LBP MLP True Pos.
0,{'mlpclassifier__alpha': 0.1},62.77,67.36,0.67,0.67,0.67,94.0,50.0,44.0,100.0,{'mlpclassifier__alpha': 0.001},65.8,67.36,0.67,0.67,0.67,99.0,45.0,49.0,95.0,{'mlpclassifier__alpha': 0.1},63.64,68.75,0.69,0.69,0.69,94.0,50.0,40.0,104.0
1,{'mlpclassifier__alpha': 0.01},55.84,63.19,0.63,0.64,0.63,76.0,68.0,38.0,106.0,{'mlpclassifier__alpha': 1.0},65.37,66.32,0.66,0.67,0.66,109.0,35.0,62.0,82.0,{'mlpclassifier__alpha': 0.1},55.84,66.67,0.66,0.67,0.67,83.0,61.0,35.0,109.0
2,{'mlpclassifier__alpha': 0.001},58.44,61.11,0.6,0.62,0.61,67.0,77.0,35.0,109.0,{'mlpclassifier__alpha': 0.01},64.5,66.67,0.66,0.68,0.67,113.0,31.0,65.0,79.0,{'mlpclassifier__alpha': 0.001},57.58,62.85,0.63,0.63,0.63,79.0,65.0,42.0,102.0
3,{'mlpclassifier__alpha': 0.001},59.31,59.38,0.59,0.6,0.59,69.0,75.0,42.0,102.0,{'mlpclassifier__alpha': 0.001},67.53,68.75,0.69,0.69,0.69,101.0,43.0,47.0,97.0,{'mlpclassifier__alpha': 0.001},57.58,59.72,0.59,0.6,0.6,74.0,70.0,46.0,98.0
4,{'mlpclassifier__alpha': 0.001},56.28,62.5,0.62,0.63,0.62,77.0,67.0,41.0,103.0,{'mlpclassifier__alpha': 0.01},69.26,69.1,0.69,0.69,0.69,102.0,42.0,47.0,97.0,{'mlpclassifier__alpha': 0.1},62.77,66.32,0.66,0.66,0.66,88.0,56.0,41.0,103.0
5,{'mlpclassifier__alpha': 0.001},63.64,61.46,0.61,0.62,0.61,74.0,70.0,41.0,103.0,{'mlpclassifier__alpha': 0.1},66.67,70.49,0.7,0.71,0.7,106.0,38.0,47.0,97.0,{'mlpclassifier__alpha': 0.1},64.94,64.24,0.64,0.64,0.64,89.0,55.0,48.0,96.0
6,{'mlpclassifier__alpha': 0.001},59.74,65.28,0.65,0.66,0.65,82.0,62.0,38.0,106.0,{'mlpclassifier__alpha': 1.0},71.86,64.58,0.65,0.65,0.65,93.0,51.0,51.0,93.0,{'mlpclassifier__alpha': 0.001},58.44,62.85,0.62,0.63,0.63,75.0,69.0,38.0,106.0
7,{'mlpclassifier__alpha': 0.1},55.84,66.67,0.67,0.67,0.67,92.0,52.0,44.0,100.0,{'mlpclassifier__alpha': 0.001},66.23,66.32,0.66,0.66,0.66,101.0,43.0,54.0,90.0,{'mlpclassifier__alpha': 0.001},58.87,63.89,0.63,0.65,0.64,77.0,67.0,37.0,107.0
8,{'mlpclassifier__alpha': 0.01},61.04,64.93,0.64,0.66,0.65,73.0,71.0,30.0,114.0,{'mlpclassifier__alpha': 0.1},65.37,64.58,0.65,0.65,0.65,95.0,49.0,53.0,91.0,{'mlpclassifier__alpha': 0.001},57.58,61.11,0.6,0.62,0.61,65.0,79.0,33.0,111.0
9,{'mlpclassifier__alpha': 0.001},62.77,61.46,0.61,0.62,0.61,71.0,73.0,38.0,106.0,{'mlpclassifier__alpha': 1.0},67.1,67.01,0.67,0.67,0.67,106.0,38.0,57.0,87.0,{'mlpclassifier__alpha': 0.1},61.47,62.5,0.62,0.63,0.62,86.0,58.0,50.0,94.0
4.5,,59.56699999999999,63.33400000000002,0.629,0.639,0.631,77.5,66.5,39.1,104.9,,66.96900000000001,67.118,0.6700000000000002,0.674,0.671,102.5,41.5,53.2,90.8,,59.871,63.89,0.634,0.642,0.639,81.0,63.0,41.0,103.0
9.166666666666666,,8.803223333333332,6.888004444444445,0.0007877777777777792,0.000610000000000001,0.0007655555555555568,84.72222222222223,84.72222222222223,18.544444444444444,18.54444444444444,,4.746009999999998,3.598839999999998,0.0003111111111111099,0.00035999999999999894,0.0002988888888888878,37.833333333333336,37.833333333333336,41.06666666666667,41.06666666666667,,9.545098888888889,7.3986666666666645,0.0008933333333333335,0.0006844444444444446,0.0007655555555555558,74.66666666666667,74.66666666666667,31.333333333333332,31.333333333333332
3.0276503540974917,,2.967022637819491,2.624500799093886,0.028067379246694536,0.024698178070456957,0.02766867462592953,9.204467514322717,9.204467514322717,4.306326095924976,4.306326095924976,,2.1785339106839716,1.8970608846318027,0.017638342073763903,0.018973665961010248,0.01728840330651989,6.150880695748645,6.150880695748645,6.408327915038889,6.408327915038889,,3.0895143451502034,2.720049019166137,0.029888682361946528,0.02616188916046478,0.027668674625929514,8.640987597877148,8.640987597877148,5.597618541248888,5.597618541248888
