Counter,HoG SVM RBF Best Param,HoG SVM RBF Val Acc,HoG SVM RBF Test Acc,HoG SVM RBF F1 score,HoG SVM RBF Precision,HoG SVM RBF Recall,HoG SVM RBF True Neg.,HoG SVM RBF False Pos.,HoG SVM RBF False Neg.,HoG SVM RBF True Pos.,LBP SVM RBF Best Param,LBP SVM RBF Val Acc,LBP SVM RBF Test Acc,LBP SVM RBF F1 score,LBP SVM RBF Precision,LBP SVM RBF Recall,LBP SVM RBF True Neg.,LBP SVM RBF False Pos.,LBP SVM RBF False Neg.,LBP SVM RBF True Pos.,HoG + LBP SVM RBF Best Param,HoG + LBP SVM RBF Val Acc,HoG + LBP SVM RBF Test Acc,HoG + LBP SVM RBF F1 score,HoG + LBP SVM RBF Precision,HoG + LBP SVM RBF Recall,HoG + LBP SVM RBF True Neg.,HoG + LBP SVM RBF False Pos.,HoG + LBP SVM RBF False Neg.,HoG + LBP SVM RBF True Pos.
0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",68.4,72.92,0.73,0.73,0.73,109.0,35.0,43.0,101.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
1,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",71.0,71.88,0.72,0.72,0.72,106.0,38.0,43.0,101.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
2,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",69.26,71.18,0.71,0.71,0.71,107.0,37.0,46.0,98.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
3,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",69.26,72.92,0.73,0.73,0.73,113.0,31.0,47.0,97.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
4,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",71.43,71.18,0.71,0.71,0.71,109.0,35.0,48.0,96.0,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
5,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",68.83,73.96,0.74,0.74,0.74,108.0,36.0,39.0,105.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
6,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",73.16,71.18,0.71,0.71,0.71,105.0,39.0,44.0,100.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
7,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",74.89,72.92,0.73,0.73,0.73,106.0,38.0,40.0,104.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
8,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",74.46,69.44,0.69,0.7,0.69,106.0,38.0,50.0,94.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
9,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,"{'svc__C': 100.0, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",74.46,73.96,0.74,0.74,0.74,111.0,33.0,42.0,102.0,"{'svc__C': 0.001, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",50.22,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
4.5,,50.220000000000006,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0,,71.51500000000001,72.15400000000002,0.7209999999999999,0.722,0.7209999999999999,108.0,36.0,44.2,99.8,,50.220000000000006,50.0,0.33,0.25,0.5,144.0,0.0,144.0,0.0
9.166666666666666,,5.609677548238306e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.533072222222205,2.063382222222215,0.00025444444444444494,0.0001955555555555559,0.00025444444444444494,6.444444444444445,6.444444444444445,12.4,12.4,,5.609677548238306e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0276503540974917,,7.489778066296963e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.5559875238784335,1.436447779149042,0.01595131481867388,0.013984117975602034,0.01595131481867388,2.5385910352879693,2.5385910352879693,3.521363372331802,3.521363372331802,,7.489778066296963e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
