Counter,HoG RF Best Param,HoG RF Val Acc,HoG RF Test Acc,HoG RF F1 score,HoG RF Precision,HoG RF Recall,HoG RF True Neg.,HoG RF False Pos.,HoG RF False Neg.,HoG RF True Pos.,LBP RF Best Param,LBP RF Val Acc,LBP RF Test Acc,LBP RF F1 score,LBP RF Precision,LBP RF Recall,LBP RF True Neg.,LBP RF False Pos.,LBP RF False Neg.,LBP RF True Pos.,HoG + LBP RF Best Param,HoG + LBP RF Val Acc,HoG + LBP RF Test Acc,HoG + LBP RF F1 score,HoG + LBP RF Precision,HoG + LBP RF Recall,HoG + LBP RF True Neg.,HoG + LBP RF False Pos.,HoG + LBP RF False Neg.,HoG + LBP RF True Pos.
0,{'randomforestclassifier__n_estimators': 300},60.17,60.42,0.6,0.61,0.6,80.0,64.0,50.0,94.0,{'randomforestclassifier__n_estimators': 250},70.56,69.44,0.69,0.69,0.69,101.0,43.0,45.0,99.0,{'randomforestclassifier__n_estimators': 200},58.44,60.07,0.6,0.6,0.6,82.0,62.0,53.0,91.0
1,{'randomforestclassifier__n_estimators': 300},67.53,60.76,0.6,0.61,0.61,75.0,69.0,44.0,100.0,{'randomforestclassifier__n_estimators': 150},71.86,67.01,0.67,0.67,0.67,94.0,50.0,45.0,99.0,{'randomforestclassifier__n_estimators': 300},67.53,61.81,0.61,0.62,0.62,75.0,69.0,41.0,103.0
2,{'randomforestclassifier__n_estimators': 300},57.14,57.64,0.57,0.58,0.58,74.0,70.0,52.0,92.0,{'randomforestclassifier__n_estimators': 300},70.13,68.75,0.69,0.69,0.69,99.0,45.0,45.0,99.0,{'randomforestclassifier__n_estimators': 300},62.34,60.07,0.6,0.6,0.6,76.0,68.0,47.0,97.0
3,{'randomforestclassifier__n_estimators': 300},63.64,61.11,0.61,0.61,0.61,82.0,62.0,50.0,94.0,{'randomforestclassifier__n_estimators': 250},68.83,68.75,0.69,0.69,0.69,100.0,44.0,46.0,98.0,{'randomforestclassifier__n_estimators': 300},65.8,61.81,0.61,0.62,0.62,76.0,68.0,42.0,102.0
4,{'randomforestclassifier__n_estimators': 300},59.74,60.42,0.6,0.61,0.6,74.0,70.0,44.0,100.0,{'randomforestclassifier__n_estimators': 100},68.83,67.71,0.68,0.68,0.68,99.0,45.0,48.0,96.0,{'randomforestclassifier__n_estimators': 300},64.5,61.81,0.62,0.62,0.62,83.0,61.0,49.0,95.0
5,{'randomforestclassifier__n_estimators': 300},61.04,60.76,0.61,0.61,0.61,80.0,64.0,49.0,95.0,{'randomforestclassifier__n_estimators': 200},65.8,68.75,0.69,0.69,0.69,100.0,44.0,46.0,98.0,{'randomforestclassifier__n_estimators': 300},59.74,60.42,0.6,0.61,0.6,79.0,65.0,49.0,95.0
6,{'randomforestclassifier__n_estimators': 200},66.67,60.42,0.6,0.6,0.6,84.0,60.0,54.0,90.0,{'randomforestclassifier__n_estimators': 200},72.29,70.49,0.7,0.71,0.7,97.0,47.0,38.0,106.0,{'randomforestclassifier__n_estimators': 250},64.5,60.42,0.6,0.61,0.6,79.0,65.0,49.0,95.0
7,{'randomforestclassifier__n_estimators': 250},62.77,59.03,0.59,0.59,0.59,79.0,65.0,53.0,91.0,{'randomforestclassifier__n_estimators': 250},68.4,68.75,0.69,0.69,0.69,99.0,45.0,45.0,99.0,{'randomforestclassifier__n_estimators': 300},66.67,56.6,0.57,0.57,0.57,75.0,69.0,56.0,88.0
8,{'randomforestclassifier__n_estimators': 250},64.5,57.29,0.57,0.57,0.57,77.0,67.0,56.0,88.0,{'randomforestclassifier__n_estimators': 100},71.0,68.75,0.69,0.69,0.69,98.0,46.0,44.0,100.0,{'randomforestclassifier__n_estimators': 200},66.23,62.85,0.63,0.63,0.63,88.0,56.0,51.0,93.0
9,{'randomforestclassifier__n_estimators': 200},63.2,57.64,0.58,0.58,0.58,78.0,66.0,56.0,88.0,{'randomforestclassifier__n_estimators': 100},67.53,69.44,0.69,0.69,0.69,102.0,42.0,46.0,98.0,{'randomforestclassifier__n_estimators': 200},61.47,60.42,0.6,0.6,0.6,88.0,56.0,58.0,86.0
4.5,,62.64000000000001,59.549,0.593,0.5970000000000001,0.595,78.3,65.7,50.8,93.2,,69.523,68.78399999999999,0.688,0.6889999999999998,0.688,98.9,45.1,44.8,99.2,,63.722,60.628,0.6039999999999999,0.6079999999999999,0.606,80.1,63.9,49.5,94.5
9.166666666666666,,10.251555555555555,2.256298888888888,0.00022333333333333374,0.00024555555555555593,0.0002055555555555559,11.344444444444447,11.344444444444447,18.62222222222222,18.62222222222222,,4.088623333333337,0.8974933333333303,6.222222222222169e-05,9.888888888888838e-05,6.222222222222169e-05,4.988888888888888,4.988888888888889,6.844444444444443,6.844444444444443,,9.52750666666667,2.9006622222222234,0.0002488888888888893,0.000284444444444445,0.0002933333333333338,24.988888888888887,24.98888888888889,29.38888888888889,29.38888888888889
3.0276503540974917,,3.201805046462941,1.5020981622014216,0.014944341180973276,0.015670212364724222,0.01433720877840439,3.368151487751768,3.368151487751768,4.315347288715269,4.315347288715269,,2.022034454042101,0.9473612475361921,0.007888106377466121,0.009944289260117506,0.007888106377466121,2.2335820757001272,2.2335820757001272,2.6161889160464775,2.6161889160464775,,3.0866659467241786,1.703133060633321,0.015776212754932323,0.016865480854231375,0.01712697677155352,4.998888765404656,4.998888765404656,5.421151989096864,5.421151989096864
