Counter,HoG RF Best Param,HoG RF Val Acc,HoG RF Test Acc,HoG RF F1 score,HoG RF Precision,HoG RF Recall,HoG RF True Neg.,HoG RF False Pos.,HoG RF False Neg.,HoG RF True Pos.,LBP RF Best Param,LBP RF Val Acc,LBP RF Test Acc,LBP RF F1 score,LBP RF Precision,LBP RF Recall,LBP RF True Neg.,LBP RF False Pos.,LBP RF False Neg.,LBP RF True Pos.,HoG + LBP RF Best Param,HoG + LBP RF Val Acc,HoG + LBP RF Test Acc,HoG + LBP RF F1 score,HoG + LBP RF Precision,HoG + LBP RF Recall,HoG + LBP RF True Neg.,HoG + LBP RF False Pos.,HoG + LBP RF False Neg.,HoG + LBP RF True Pos.
0,{'randomforestclassifier__n_estimators': 250},66.23,65.28,0.65,0.65,0.65,92.0,52.0,48.0,96.0,{'randomforestclassifier__n_estimators': 250},67.53,71.18,0.71,0.71,0.71,106.0,38.0,45.0,99.0,{'randomforestclassifier__n_estimators': 200},61.47,61.46,0.61,0.61,0.61,87.0,57.0,54.0,90.0
1,{'randomforestclassifier__n_estimators': 250},61.9,63.19,0.63,0.63,0.63,85.0,59.0,47.0,97.0,{'randomforestclassifier__n_estimators': 200},73.16,72.92,0.73,0.73,0.73,109.0,35.0,43.0,101.0,{'randomforestclassifier__n_estimators': 250},61.47,62.5,0.62,0.63,0.62,80.0,64.0,44.0,100.0
2,{'randomforestclassifier__n_estimators': 150},59.31,62.15,0.62,0.62,0.62,84.0,60.0,49.0,95.0,{'randomforestclassifier__n_estimators': 200},69.26,70.49,0.7,0.71,0.7,109.0,35.0,50.0,94.0,{'randomforestclassifier__n_estimators': 200},64.94,63.54,0.63,0.64,0.64,83.0,61.0,44.0,100.0
3,{'randomforestclassifier__n_estimators': 250},55.84,61.11,0.61,0.61,0.61,87.0,57.0,55.0,89.0,{'randomforestclassifier__n_estimators': 200},68.4,72.92,0.73,0.73,0.73,111.0,33.0,45.0,99.0,{'randomforestclassifier__n_estimators': 300},60.17,65.97,0.66,0.66,0.66,96.0,48.0,50.0,94.0
4,{'randomforestclassifier__n_estimators': 200},56.28,60.76,0.61,0.61,0.61,85.0,59.0,54.0,90.0,{'randomforestclassifier__n_estimators': 200},72.73,70.49,0.7,0.71,0.7,108.0,36.0,49.0,95.0,{'randomforestclassifier__n_estimators': 250},59.31,66.67,0.67,0.67,0.67,89.0,55.0,41.0,103.0
5,{'randomforestclassifier__n_estimators': 300},67.1,61.46,0.61,0.61,0.61,90.0,54.0,57.0,87.0,{'randomforestclassifier__n_estimators': 250},68.4,72.22,0.72,0.72,0.72,109.0,35.0,45.0,99.0,{'randomforestclassifier__n_estimators': 300},67.1,64.93,0.65,0.65,0.65,96.0,48.0,53.0,91.0
6,{'randomforestclassifier__n_estimators': 150},61.47,64.24,0.64,0.64,0.64,86.0,58.0,45.0,99.0,{'randomforestclassifier__n_estimators': 300},71.86,67.71,0.68,0.68,0.68,105.0,39.0,54.0,90.0,{'randomforestclassifier__n_estimators': 300},63.64,64.58,0.64,0.65,0.65,82.0,62.0,40.0,104.0
7,{'randomforestclassifier__n_estimators': 300},67.53,63.19,0.63,0.63,0.63,85.0,59.0,47.0,97.0,{'randomforestclassifier__n_estimators': 200},70.56,71.53,0.72,0.72,0.72,107.0,37.0,45.0,99.0,{'randomforestclassifier__n_estimators': 300},64.5,62.85,0.63,0.63,0.63,83.0,61.0,46.0,98.0
8,{'randomforestclassifier__n_estimators': 250},58.01,60.76,0.61,0.61,0.61,76.0,68.0,45.0,99.0,{'randomforestclassifier__n_estimators': 250},71.43,70.83,0.71,0.71,0.71,109.0,35.0,49.0,95.0,{'randomforestclassifier__n_estimators': 300},64.07,61.11,0.61,0.62,0.61,74.0,70.0,42.0,102.0
9,{'randomforestclassifier__n_estimators': 250},58.44,62.5,0.62,0.63,0.62,89.0,55.0,53.0,91.0,{'randomforestclassifier__n_estimators': 200},71.43,69.79,0.7,0.7,0.7,104.0,40.0,47.0,97.0,{'randomforestclassifier__n_estimators': 300},62.77,64.93,0.65,0.65,0.65,86.0,58.0,43.0,101.0
4.5,,61.21099999999999,62.464,0.623,0.624,0.623,85.9,58.1,50.0,94.0,,70.47600000000003,71.00800000000001,0.71,0.712,0.71,107.7,36.3,47.2,96.8,,62.944,63.854,0.637,0.6410000000000001,0.6390000000000001,85.6,58.4,45.7,98.3
9.166666666666666,,19.44925444444444,2.3207377777777776,0.0002011111111111115,0.0002044444444444448,0.0002011111111111115,18.766666666666666,18.766666666666666,19.11111111111111,19.11111111111111,,3.867137777777773,2.4456844444444505,0.00024444444444444416,0.00021777777777777738,0.00024444444444444416,4.677777777777778,4.677777777777778,10.844444444444445,10.844444444444445,,5.634048888888879,3.494515555555559,0.0004233333333333341,0.00034333333333333394,0.000432222222222223,46.93333333333334,46.93333333333334,24.67777777777778,24.67777777777778
3.0276503540974917,,4.4101308874504435,1.5233967893420866,0.014181364924121777,0.014298407059684824,0.014181364924121777,4.332051092342595,4.332051092342595,4.371625682868,4.371625682868,,1.9665039480707311,1.5638684229961453,0.015634719199411423,0.014757295747452423,0.015634719199411423,2.1628170930011112,2.1628170930011112,3.2930904093942583,3.2930904093942583,,2.373615151807234,1.8693623392899406,0.020575065816014638,0.018529256146249746,0.020789954839350252,6.850790708621402,6.850790708621402,4.967673276069772,4.967673276069772
