Counter,HoG SVM Best Param,HoG SVM Val Acc,HoG SVM Test Acc,HoG SVM F1 score,HoG SVM Precision,HoG SVM Recall,HoG SVM True Neg.,HoG SVM False Pos.,HoG SVM False Neg.,HoG SVM True Pos.,LBP SVM Best Param,LBP SVM Val Acc,LBP SVM Test Acc,LBP SVM F1 score,LBP SVM Precision,LBP SVM Recall,LBP SVM True Neg.,LBP SVM False Pos.,LBP SVM False Neg.,LBP SVM True Pos.,HoG + LBP SVM Best Param,HoG + LBP SVM Val Acc,HoG + LBP SVM Test Acc,HoG + LBP SVM F1 score,HoG + LBP SVM Precision,HoG + LBP SVM Recall,HoG + LBP SVM True Neg.,HoG + LBP SVM False Pos.,HoG + LBP SVM False Neg.,HoG + LBP SVM True Pos.
0,{'linearsvc__C': 0.001},59.31,61.46,0.61,0.62,0.61,78.0,66.0,45.0,99.0,{'linearsvc__C': 10.0},70.13,69.79,0.7,0.7,0.7,98.0,46.0,41.0,103.0,{'linearsvc__C': 0.001},59.31,61.81,0.62,0.62,0.62,79.0,65.0,45.0,99.0
1,{'linearsvc__C': 0.001},59.74,61.11,0.61,0.61,0.61,89.0,55.0,57.0,87.0,{'linearsvc__C': 1.0},70.13,67.01,0.67,0.67,0.67,92.0,52.0,43.0,101.0,{'linearsvc__C': 0.001},60.17,61.46,0.61,0.61,0.61,89.0,55.0,56.0,88.0
2,{'linearsvc__C': 10.0},61.9,63.89,0.64,0.64,0.64,80.0,64.0,40.0,104.0,{'linearsvc__C': 10.0},66.67,67.01,0.67,0.67,0.67,91.0,53.0,42.0,102.0,{'linearsvc__C': 10.0},61.47,64.93,0.65,0.65,0.65,82.0,62.0,39.0,105.0
3,{'linearsvc__C': 0.001},59.31,59.72,0.6,0.6,0.6,76.0,68.0,48.0,96.0,{'linearsvc__C': 0.01},64.5,68.06,0.68,0.68,0.68,95.0,49.0,43.0,101.0,{'linearsvc__C': 0.001},59.31,59.72,0.6,0.6,0.6,76.0,68.0,48.0,96.0
4,{'linearsvc__C': 0.001},56.28,59.72,0.6,0.6,0.6,78.0,66.0,50.0,94.0,{'linearsvc__C': 0.001},65.37,68.75,0.69,0.69,0.69,98.0,46.0,44.0,100.0,{'linearsvc__C': 0.01},55.84,59.72,0.6,0.6,0.6,78.0,66.0,50.0,94.0
5,{'linearsvc__C': 0.1},58.44,60.76,0.61,0.61,0.61,84.0,60.0,53.0,91.0,{'linearsvc__C': 10.0},62.77,68.4,0.68,0.68,0.68,98.0,46.0,45.0,99.0,{'linearsvc__C': 1.0},56.28,61.11,0.61,0.61,0.61,84.0,60.0,52.0,92.0
6,{'linearsvc__C': 10.0},59.31,58.68,0.58,0.59,0.59,75.0,69.0,50.0,94.0,{'linearsvc__C': 0.01},67.53,66.67,0.67,0.67,0.67,93.0,51.0,45.0,99.0,{'linearsvc__C': 10.0},58.87,60.07,0.6,0.6,0.6,75.0,69.0,46.0,98.0
7,{'linearsvc__C': 0.001},55.41,59.03,0.59,0.59,0.59,79.0,65.0,53.0,91.0,{'linearsvc__C': 0.1},64.07,66.67,0.67,0.67,0.67,93.0,51.0,45.0,99.0,{'linearsvc__C': 0.1},55.41,59.03,0.59,0.59,0.59,80.0,64.0,54.0,90.0
8,{'linearsvc__C': 0.001},58.01,60.07,0.6,0.6,0.6,80.0,64.0,51.0,93.0,{'linearsvc__C': 0.1},71.0,69.44,0.69,0.69,0.69,97.0,47.0,41.0,103.0,{'linearsvc__C': 0.001},58.87,59.72,0.6,0.6,0.6,80.0,64.0,52.0,92.0
9,{'linearsvc__C': 0.1},58.01,61.81,0.62,0.62,0.62,78.0,66.0,44.0,100.0,{'linearsvc__C': 0.001},68.83,67.71,0.68,0.68,0.68,95.0,49.0,44.0,100.0,{'linearsvc__C': 0.001},58.44,63.89,0.64,0.64,0.64,80.0,64.0,40.0,104.0
4.5,,58.572,60.625,0.606,0.6079999999999999,0.607,79.7,64.3,49.1,94.9,,67.10000000000001,67.951,0.6799999999999999,0.6799999999999999,0.6799999999999999,95.0,49.0,43.3,100.7,,58.397000000000006,61.146,0.6119999999999999,0.6119999999999999,0.6119999999999999,80.3,63.7,48.2,95.8
9.166666666666666,,3.3304844444444477,2.3653611111111124,0.0002711111111111116,0.00024000000000000044,0.00022333333333333368,16.67777777777778,16.67777777777778,24.988888888888887,24.98888888888889,,8.290799999999994,1.284654444444444,0.00011111111111111034,0.00011111111111111034,0.00011111111111111034,7.111111111111111,7.111111111111111,2.4555555555555553,2.4555555555555553,,3.8494900000000007,3.791626666666674,0.000373333333333334,0.000373333333333334,0.000373333333333334,16.233333333333334,16.233333333333334,32.62222222222223,32.62222222222223
3.0276503540974917,,1.8249614912223346,1.5379730527909494,0.016465452046971307,0.015491933384829681,0.014944341180973274,4.083843505544475,4.083843505544475,4.998888765404656,4.998888765404656,,2.8793749321684374,1.1334259766056378,0.010540925533894562,0.010540925533894562,0.010540925533894562,2.6666666666666665,2.6666666666666665,1.567021236472421,1.567021236472421,,1.9620117226968856,1.9472099698457468,0.019321835661585934,0.019321835661585934,0.019321835661585934,4.029061098237818,4.029061098237818,5.7115866641610396,5.7115866641610396
