Counter,ResNet50 RI Seed 7 Dropout: 0.2 Val Acc,ResNet50 RI Seed 7 Dropout: 0.2 Test Acc,ResNet50 RI Seed 7 Dropout: 0.2 F1 score,ResNet50 RI Seed 7 Dropout: 0.2 Precision,ResNet50 RI Seed 7 Dropout: 0.2 Recall,ResNet50 RI Seed 7 Dropout: 0.2 True Neg.,ResNet50 RI Seed 7 Dropout: 0.2 False Pos.,ResNet50 RI Seed 7 Dropout: 0.2 False Neg.,ResNet50 RI Seed 7 Dropout: 0.2 True Pos.,ResNet50 RI Seed 7 Dropout: 0.3 Val Acc,ResNet50 RI Seed 7 Dropout: 0.3 Test Acc,ResNet50 RI Seed 7 Dropout: 0.3 F1 score,ResNet50 RI Seed 7 Dropout: 0.3 Precision,ResNet50 RI Seed 7 Dropout: 0.3 Recall,ResNet50 RI Seed 7 Dropout: 0.3 True Neg.,ResNet50 RI Seed 7 Dropout: 0.3 False Pos.,ResNet50 RI Seed 7 Dropout: 0.3 False Neg.,ResNet50 RI Seed 7 Dropout: 0.3 True Pos.,ResNet50 RI Seed 7 Dropout: 0.4 Val Acc,ResNet50 RI Seed 7 Dropout: 0.4 Test Acc,ResNet50 RI Seed 7 Dropout: 0.4 F1 score,ResNet50 RI Seed 7 Dropout: 0.4 Precision,ResNet50 RI Seed 7 Dropout: 0.4 Recall,ResNet50 RI Seed 7 Dropout: 0.4 True Neg.,ResNet50 RI Seed 7 Dropout: 0.4 False Pos.,ResNet50 RI Seed 7 Dropout: 0.4 False Neg.,ResNet50 RI Seed 7 Dropout: 0.4 True Pos.,EfficientNet B4 RI Seed 7 Dropout: 0.2 Val Acc,EfficientNet B4 RI Seed 7 Dropout: 0.2 Test Acc,EfficientNet B4 RI Seed 7 Dropout: 0.2 F1 score,EfficientNet B4 RI Seed 7 Dropout: 0.2 Precision,EfficientNet B4 RI Seed 7 Dropout: 0.2 Recall,EfficientNet B4 RI Seed 7 Dropout: 0.2 True Neg.,EfficientNet B4 RI Seed 7 Dropout: 0.2 False Pos.,EfficientNet B4 RI Seed 7 Dropout: 0.2 False Neg.,EfficientNet B4 RI Seed 7 Dropout: 0.2 True Pos.,EfficientNet B4 RI Seed 7 Dropout: 0.3 Val Acc,EfficientNet B4 RI Seed 7 Dropout: 0.3 Test Acc,EfficientNet B4 RI Seed 7 Dropout: 0.3 F1 score,EfficientNet B4 RI Seed 7 Dropout: 0.3 Precision,EfficientNet B4 RI Seed 7 Dropout: 0.3 Recall,EfficientNet B4 RI Seed 7 Dropout: 0.3 True Neg.,EfficientNet B4 RI Seed 7 Dropout: 0.3 False Pos.,EfficientNet B4 RI Seed 7 Dropout: 0.3 False Neg.,EfficientNet B4 RI Seed 7 Dropout: 0.3 True Pos.,EfficientNet B4 RI Seed 7 Dropout: 0.4 Val Acc,EfficientNet B4 RI Seed 7 Dropout: 0.4 Test Acc,EfficientNet B4 RI Seed 7 Dropout: 0.4 F1 score,EfficientNet B4 RI Seed 7 Dropout: 0.4 Precision,EfficientNet B4 RI Seed 7 Dropout: 0.4 Recall,EfficientNet B4 RI Seed 7 Dropout: 0.4 True Neg.,EfficientNet B4 RI Seed 7 Dropout: 0.4 False Pos.,EfficientNet B4 RI Seed 7 Dropout: 0.4 False Neg.,EfficientNet B4 RI Seed 7 Dropout: 0.4 True Pos.,Ensemble of 1 & 2 Seed 7 RI Val Acc,Ensemble of 1 & 2 Seed 7 RI Test Acc,Ensemble of 1 & 2 Seed 7 RI F1 score,Ensemble of 1 & 2 Seed 7 RI Precision,Ensemble of 1 & 2 Seed 7 RI Recall,Ensemble of 1 & 2 Seed 7 RI True Neg.,Ensemble of 1 & 2 Seed 7 RI False Pos.,Ensemble of 1 & 2 Seed 7 RI False Neg.,Ensemble of 1 & 2 Seed 7 RI True Pos.
0,81.82,79.51,0.79,0.8,0.8,110.0,34.0,25.0,119.0,54.98,59.72,0.56,0.65,0.6,129.0,15.0,101.0,43.0,83.98,81.94,0.82,0.82,0.82,124.0,20.0,32.0,112.0,60.17,65.28,0.61,0.77,0.65,141.0,3.0,97.0,47.0,57.58,59.72,0.56,0.66,0.6,130.0,14.0,102.0,42.0,66.67,67.71,0.65,0.77,0.68,139.0,5.0,88.0,56.0,82.68,79.86,0.8,0.8,0.8,113.0,31.0,27.0,117.0
1,84.85,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,81.82,81.25,0.81,0.81,0.81,113.0,31.0,23.0,121.0,85.71,79.86,0.8,0.8,0.8,122.0,22.0,36.0,108.0,58.87,59.72,0.53,0.72,0.6,140.0,4.0,112.0,32.0,61.47,65.97,0.62,0.75,0.66,139.0,5.0,93.0,51.0,61.04,65.28,0.61,0.78,0.65,142.0,2.0,98.0,46.0,83.55,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0
2,84.42,79.86,0.8,0.8,0.8,123.0,21.0,37.0,107.0,82.25,81.94,0.82,0.82,0.82,120.0,24.0,28.0,116.0,75.76,73.61,0.73,0.74,0.74,94.0,50.0,26.0,118.0,61.9,65.62,0.62,0.75,0.66,138.0,6.0,93.0,51.0,72.29,73.26,0.72,0.78,0.73,135.0,9.0,68.0,76.0,60.61,60.42,0.54,0.74,0.6,141.0,3.0,111.0,33.0,84.85,79.86,0.8,0.8,0.8,123.0,21.0,37.0,107.0
3,77.06,77.43,0.77,0.78,0.77,102.0,42.0,23.0,121.0,72.73,75.0,0.74,0.77,0.75,129.0,15.0,57.0,87.0,82.25,81.94,0.82,0.83,0.82,129.0,15.0,37.0,107.0,71.0,72.22,0.7,0.8,0.72,141.0,3.0,77.0,67.0,69.26,70.14,0.68,0.76,0.7,136.0,8.0,78.0,66.0,64.94,67.01,0.64,0.77,0.67,140.0,4.0,91.0,53.0,77.49,78.82,0.79,0.79,0.79,107.0,37.0,24.0,120.0
4,80.52,79.51,0.79,0.8,0.8,120.0,24.0,35.0,109.0,78.79,81.94,0.82,0.82,0.82,115.0,29.0,23.0,121.0,78.79,79.51,0.79,0.8,0.8,104.0,40.0,19.0,125.0,74.03,73.96,0.73,0.79,0.74,136.0,8.0,67.0,77.0,55.41,58.33,0.5,0.77,0.58,144.0,0.0,120.0,24.0,68.83,67.36,0.65,0.75,0.67,137.0,7.0,87.0,57.0,80.09,81.25,0.81,0.81,0.81,122.0,22.0,32.0,112.0
5,78.79,81.94,0.82,0.82,0.82,122.0,22.0,30.0,114.0,80.52,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,83.12,82.64,0.83,0.83,0.83,115.0,29.0,21.0,123.0,76.62,76.39,0.76,0.77,0.76,122.0,22.0,46.0,98.0,70.13,67.71,0.65,0.75,0.68,137.0,7.0,86.0,58.0,74.03,76.04,0.75,0.79,0.76,134.0,10.0,59.0,85.0,80.95,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0
6,73.59,78.47,0.78,0.79,0.78,108.0,36.0,26.0,118.0,79.22,81.94,0.82,0.82,0.82,122.0,22.0,30.0,114.0,76.62,80.21,0.8,0.8,0.8,112.0,32.0,25.0,119.0,64.07,63.54,0.59,0.74,0.64,139.0,5.0,100.0,44.0,65.8,62.85,0.59,0.7,0.63,133.0,11.0,96.0,48.0,65.8,65.62,0.64,0.7,0.66,128.0,16.0,83.0,61.0,77.92,81.6,0.82,0.82,0.82,115.0,29.0,24.0,120.0
7,83.12,82.29,0.82,0.82,0.82,121.0,23.0,28.0,116.0,83.98,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,79.65,78.47,0.78,0.79,0.78,120.0,24.0,38.0,106.0,60.17,56.94,0.5,0.65,0.57,135.0,9.0,115.0,29.0,58.44,55.9,0.51,0.6,0.56,126.0,18.0,109.0,35.0,73.59,73.26,0.72,0.79,0.73,137.0,7.0,70.0,74.0,81.82,83.33,0.83,0.83,0.83,122.0,22.0,26.0,118.0
8,80.95,82.99,0.83,0.83,0.83,125.0,19.0,30.0,114.0,80.52,84.03,0.84,0.84,0.84,122.0,22.0,24.0,120.0,83.55,79.51,0.79,0.8,0.8,122.0,22.0,37.0,107.0,67.53,64.58,0.63,0.68,0.65,123.0,21.0,81.0,63.0,69.26,70.83,0.69,0.76,0.71,134.0,10.0,74.0,70.0,57.58,57.64,0.49,0.73,0.58,142.0,2.0,120.0,24.0,80.95,83.68,0.84,0.84,0.84,123.0,21.0,26.0,118.0
9,77.06,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,78.35,78.82,0.79,0.79,0.79,116.0,28.0,33.0,111.0,75.32,78.82,0.79,0.79,0.79,115.0,29.0,32.0,112.0,60.61,63.19,0.6,0.7,0.63,49.0,95.0,11.0,133.0,67.97,65.97,0.62,0.77,0.66,141.0,3.0,95.0,49.0,65.8,67.71,0.65,0.77,0.68,139.0,5.0,88.0,56.0,76.62,80.9,0.81,0.81,0.81,117.0,27.0,28.0,116.0
4.5,80.218,80.763,0.806,0.8099999999999999,0.808,116.8,27.2,28.2,115.8,77.316,78.957,0.7849999999999999,0.7969999999999999,0.79,120.2,23.8,36.8,107.2,80.475,79.651,0.795,0.8,0.798,115.7,28.3,30.3,113.7,65.497,66.144,0.627,0.737,0.662,126.4,17.6,79.9,64.1,64.761,65.06800000000001,0.614,0.7300000000000001,0.651,135.5,8.5,92.1,51.9,65.889,66.805,0.634,0.759,0.6679999999999999,137.9,6.1,89.5,54.5,80.692,81.528,0.8160000000000001,0.8160000000000001,0.8160000000000001,117.9,26.1,27.1,116.9
9.166666666666666,12.960306666666652,4.1646011111111,0.000515555555555554,0.00033333333333333197,0.00046222222222222086,56.62222222222223,56.62222222222223,23.066666666666666,23.06666666666666,70.70731555555557,52.06557888888889,0.007027777777777773,0.0030677777777777756,0.005088888888888889,29.955555555555552,29.955555555555552,612.8444444444443,612.8444444444443,14.053183333333326,6.487565555555555,0.0007833333333333325,0.0006666666666666659,0.0006399999999999991,107.34444444444445,107.34444444444445,49.78888888888889,49.788888888888884,41.16420111111112,38.66040444444444,0.006845555555555555,0.0024011111111111125,0.0036844444444444455,788.0444444444444,788.0444444444446,1022.5444444444446,1022.5444444444446,36.35165444444448,33.06839555555557,0.00556,0.0034444444444444453,0.003276666666666666,27.38888888888889,27.38888888888889,258.9888888888888,258.9888888888888,28.464143333333343,28.60396111111112,0.005759999999999999,0.0008322222222222237,0.0028177777777777784,18.32222222222222,18.322222222222223,314.5,314.5,7.299462222222216,2.8364177777777804,0.00027111111111110983,0.00027111111111110983,0.00027111111111110983,26.988888888888884,26.98888888888889,19.433333333333337,19.433333333333326
3.0276503540974917,3.600042592340631,2.040735433884339,0.022705848487901834,0.0182574185835055,0.021499353995462767,7.52477389841198,7.52477389841198,4.802776974487434,4.802776974487433,8.40876421096201,7.21564819603124,0.08383184226639526,0.05538752366533257,0.071336448530109,5.473166867139677,5.473166867139677,24.75569519210568,24.75569519210568,3.7487575719607857,2.5470699942395685,0.027988092706244427,0.0258198889747161,0.025298221281347018,10.360716405946283,10.360716405946283,7.0561242115547325,7.056124211554732,6.415933378013765,6.217749146149629,0.08273787255879592,0.049001133773731324,0.06069962474714688,28.072129317963118,28.07212931796312,31.977248856717562,31.977248856717562,6.029233321446806,5.7505126341532,0.074565407529229,0.05868938953886337,0.057242175593408974,5.233439489369194,5.233439489369194,16.09313173030311,16.09313173030311,5.3351797845371,5.3482671129171475,0.07589466384404109,0.0288482620312251,0.053082744633051696,4.280446497997869,4.280446497997869,17.7341478509682,17.7341478509682,2.7017516951456173,1.684166790367801,0.016465452046971252,0.016465452046971252,0.016465452046971252,5.195083145522204,5.195083145522205,4.408325456829763,4.408325456829761
