Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNetB4 Best Param,EfficientNetB4 Val Acc,EfficientNetB4 Test Acc,EfficientNetB4 F1 score,EfficientNetB4 Precision,EfficientNetB4 Recall,EfficientNetB4 True Neg.,EfficientNetB4 False Pos.,EfficientNetB4 False Neg.,EfficientNetB4 True Pos.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Best Param,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Val Acc,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Test Acc,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 F1 score,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Precision,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 Recall,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 True Neg.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 False Pos.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 False Neg.,FeatSpaceEnsNet 2: ResNet50-ResNeXt50-EffNetB4 True Pos.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Best Param,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Val Acc,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Test Acc,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 F1 score,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Precision,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 Recall,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 True Neg.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 False Pos.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 False Neg.,AvgEnsNet 7: ResNet50-ResNeXt50-EffNetB4 True Pos.
0,{'logisticregression__C': 0.001},82.68,85.42,0.85,0.85,0.85,123.0,21.0,21.0,123.0,{'logisticregression__C': 0.001},77.92,82.29,0.82,0.82,0.82,116.0,28.0,23.0,121.0,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,113.0,31.0,21.0,123.0,Ensemble,83.98,86.81,0.87,0.87,0.87,124.0,20.0,18.0,126.0,{'logisticregression__C': 0.0001},84.42,86.11,0.86,0.86,0.86,124.0,20.0,20.0,124.0
1,{'logisticregression__C': 0.0001},86.58,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.0001},83.98,80.21,0.8,0.8,0.8,111.0,33.0,24.0,120.0,{'logisticregression__C': 0.0005},84.85,79.86,0.8,0.8,0.8,110.0,34.0,24.0,120.0,Ensemble,87.45,85.07,0.85,0.85,0.85,117.0,27.0,16.0,128.0,{'logisticregression__C': 0.0001},87.88,84.38,0.84,0.85,0.84,115.0,29.0,16.0,128.0
2,{'logisticregression__C': 0.0005},80.95,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,{'logisticregression__C': 0.0001},78.35,81.25,0.81,0.81,0.81,116.0,28.0,26.0,118.0,{'logisticregression__C': 0.0001},84.85,80.9,0.81,0.81,0.81,110.0,34.0,21.0,123.0,Ensemble,82.68,83.68,0.84,0.84,0.84,118.0,26.0,21.0,123.0,{'logisticregression__C': 0.001},85.28,83.68,0.84,0.84,0.84,119.0,25.0,22.0,122.0
3,{'logisticregression__C': 0.0001},84.42,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,{'logisticregression__C': 0.0001},81.82,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0001},80.95,80.9,0.81,0.81,0.81,110.0,34.0,21.0,123.0,Ensemble,86.58,85.07,0.85,0.85,0.85,118.0,26.0,17.0,127.0,{'logisticregression__C': 0.0005},87.45,83.68,0.84,0.84,0.84,116.0,28.0,19.0,125.0
4,{'logisticregression__C': 0.0005},81.82,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0,{'logisticregression__C': 0.001},78.35,81.94,0.82,0.82,0.82,115.0,29.0,23.0,121.0,{'logisticregression__C': 0.001},82.68,80.56,0.81,0.81,0.81,110.0,34.0,22.0,122.0,Ensemble,83.12,86.11,0.86,0.86,0.86,119.0,25.0,15.0,129.0,{'logisticregression__C': 0.001},83.98,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0
0,{'logisticregression__C': 0.0005},81.82,83.33,0.83,0.83,0.83,121.0,23.0,25.0,119.0,{'logisticregression__C': 0.0001},82.68,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,{'logisticregression__C': 0.0001},83.98,82.99,0.83,0.83,0.83,124.0,20.0,29.0,115.0,Ensemble,85.28,84.38,0.84,0.84,0.84,121.0,23.0,22.0,122.0,{'logisticregression__C': 0.0001},84.42,85.42,0.85,0.85,0.85,124.0,20.0,22.0,122.0
1,{'logisticregression__C': 0.0005},81.82,81.6,0.82,0.82,0.82,117.0,27.0,26.0,118.0,{'logisticregression__C': 0.001},81.39,81.6,0.82,0.82,0.82,115.0,29.0,24.0,120.0,{'logisticregression__C': 0.0005},84.42,82.64,0.83,0.83,0.83,122.0,22.0,28.0,116.0,Ensemble,85.28,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.0001},83.55,85.76,0.86,0.86,0.86,123.0,21.0,20.0,124.0
2,{'logisticregression__C': 0.0001},84.42,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.001},84.42,81.25,0.81,0.81,0.81,119.0,25.0,29.0,115.0,{'logisticregression__C': 0.001},83.12,83.33,0.83,0.83,0.83,124.0,20.0,28.0,116.0,Ensemble,87.01,84.38,0.84,0.84,0.84,121.0,23.0,22.0,122.0,{'logisticregression__C': 0.0005},85.28,86.11,0.86,0.86,0.86,125.0,19.0,21.0,123.0
3,{'logisticregression__C': 0.0005},82.68,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0001},82.25,80.56,0.81,0.81,0.81,113.0,31.0,25.0,119.0,{'logisticregression__C': 0.0005},82.68,82.64,0.83,0.83,0.83,121.0,23.0,27.0,117.0,Ensemble,84.42,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.001},82.25,85.07,0.85,0.85,0.85,123.0,21.0,22.0,122.0
4,{'logisticregression__C': 0.0001},84.85,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0,{'logisticregression__C': 0.001},83.55,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0005},84.42,79.51,0.8,0.8,0.8,117.0,27.0,32.0,112.0,Ensemble,86.15,85.76,0.86,0.86,0.86,123.0,21.0,20.0,124.0,{'logisticregression__C': 0.0001},87.01,86.46,0.86,0.86,0.86,124.0,20.0,19.0,125.0
