Counter,,IncResNetV2 Best Param,IncResNetV2 Val Acc,IncResNetV2 Test Acc,IncResNetV2 F1 score,IncResNetV2 Precision,IncResNetV2 Recall,IncResNetV2 True Neg.,IncResNetV2 False Pos.,IncResNetV2 False Neg.,IncResNetV2 True Pos.,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNet B4 Best Param,EfficientNet B4 Val Acc,EfficientNet B4 Test Acc,EfficientNet B4 F1 score,EfficientNet B4 Precision,EfficientNet B4 Recall,EfficientNet B4 True Neg.,EfficientNet B4 False Pos.,EfficientNet B4 False Neg.,EfficientNet B4 True Pos.,ResNet50V2 Best Param,ResNet50V2 Val Acc,ResNet50V2 Test Acc,ResNet50V2 F1 score,ResNet50V2 Precision,ResNet50V2 Recall,ResNet50V2 True Neg.,ResNet50V2 False Pos.,ResNet50V2 False Neg.,ResNet50V2 True Pos.,ResNet101 Best Param,ResNet101 Val Acc,ResNet101 Test Acc,ResNet101 F1 score,ResNet101 Precision,ResNet101 Recall,ResNet101 True Neg.,ResNet101 False Pos.,ResNet101 False Neg.,ResNet101 True Pos.,ResNet152 Best Param,ResNet152 Val Acc,ResNet152 Test Acc,ResNet152 F1 score,ResNet152 Precision,ResNet152 Recall,ResNet152 True Neg.,ResNet152 False Pos.,ResNet152 False Neg.,ResNet152 True Pos.,ResNet152V2 Best Param,ResNet152V2 Val Acc,ResNet152V2 Test Acc,ResNet152V2 F1 score,ResNet152V2 Precision,ResNet152V2 Recall,ResNet152V2 True Neg.,ResNet152V2 False Pos.,ResNet152V2 False Neg.,ResNet152V2 True Pos.,EfficientNetB0 Best Param,EfficientNetB0 Val Acc,EfficientNetB0 Test Acc,EfficientNetB0 F1 score,EfficientNetB0 Precision,EfficientNetB0 Recall,EfficientNetB0 True Neg.,EfficientNetB0 False Pos.,EfficientNetB0 False Neg.,EfficientNetB0 True Pos.,EfficientNetB7 Best Param,EfficientNetB7 Val Acc,EfficientNetB7 Test Acc,EfficientNetB7 F1 score,EfficientNetB7 Precision,EfficientNetB7 Recall,EfficientNetB7 True Neg.,EfficientNetB7 False Pos.,EfficientNetB7 False Neg.,EfficientNetB7 True Pos.,ResNet50-ResNet101 Best Param,ResNet50-ResNet101 Val Acc,ResNet50-ResNet101 Test Acc,ResNet50-ResNet101 F1 score,ResNet50-ResNet101 Precision,ResNet50-ResNet101 Recall,ResNet50-ResNet101 True Neg.,ResNet50-ResNet101 False Pos.,ResNet50-ResNet101 False Neg.,ResNet50-ResNet101 True Pos.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Best Param,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Val Acc,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Test Acc,Ensemble of 2 models: ResNet50 & InceptionResNetV2 F1 score,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Precision,Ensemble of 2 models: ResNet50 & InceptionResNetV2 Recall,Ensemble of 2 models: ResNet50 & InceptionResNetV2 True Neg.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 False Pos.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 False Neg.,Ensemble of 2 models: ResNet50 & InceptionResNetV2 True Pos.,3 model ensemble Best Param,3 model ensemble Val Acc,3 model ensemble Test Acc,3 model ensemble F1 score,3 model ensemble Precision,3 model ensemble Recall,3 model ensemble True Neg.,3 model ensemble False Pos.,3 model ensemble False Neg.,3 model ensemble True Pos.,5 model ensemble Best Param,5 model ensemble Val Acc,5 model ensemble Test Acc,5 model ensemble F1 score,5 model ensemble Precision,5 model ensemble Recall,5 model ensemble True Neg.,5 model ensemble False Pos.,5 model ensemble False Neg.,5 model ensemble True Pos.,7 model ensemble Best Param,7 model ensemble Val Acc,7 model ensemble Test Acc,7 model ensemble F1 score,7 model ensemble Precision,7 model ensemble Recall,7 model ensemble True Neg.,7 model ensemble False Pos.,7 model ensemble False Neg.,7 model ensemble True Pos.,9 model ensemble Best Param,9 model ensemble Val Acc,9 model ensemble Test Acc,9 model ensemble F1 score,9 model ensemble Precision,9 model ensemble Recall,9 model ensemble True Neg.,9 model ensemble False Pos.,9 model ensemble False Neg.,9 model ensemble True Pos.,11 model ensemble Best Param,11 model ensemble Val Acc,11 model ensemble Test Acc,11 model ensemble F1 score,11 model ensemble Precision,11 model ensemble Recall,11 model ensemble True Neg.,11 model ensemble False Pos.,11 model ensemble False Neg.,11 model ensemble True Pos.
0,{'logisticregression__C': 0.0005},83.12,85.07,0.85,0.85,0.85,125,19,24,120,{'logisticregression__C': 0.0001},83.12,85.42,0.85,0.85,0.85,122,22,20,124,{'logisticregression__C': 0.001},77.92,82.29,0.82,0.82,0.82,116,28,23,121,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,113,31,21,123,{'logisticregression__C': 0.0001},78.79,78.47,0.78,0.79,0.78,108,36,26,118,{'logisticregression__C': 0.001},83.98,85.42,0.85,0.85,0.85,121,23,19,125,{'logisticregression__C': 0.0005},83.55,82.99,0.83,0.83,0.83,115,29,20,124,{'logisticregression__C': 0.0001},79.22,80.9,0.81,0.81,0.81,114,30,25,119,{'logisticregression__C': 0.0001},82.25,84.03,0.84,0.84,0.84,115,29,17,127,{'logisticregression__C': 0.0005},78.79,80.9,0.81,0.81,0.81,110,34,21,123,{'logisticregression__C': 0.0005},84.85,86.81,0.87,0.87,0.87,123,21,17,127,Ensemble,85.28,86.46,0.86,0.86,0.86,126,18,21,123,Ensemble,86.15,86.81,0.87,0.87,0.87,124,20,18,126,Ensemble,86.58,86.81,0.87,0.87,0.87,123,21,17,127,Ensemble,85.71,87.85,0.88,0.88,0.88,125,19,16,128,Ensemble,85.28,87.5,0.87,0.88,0.88,124,20,16,128,Ensemble,85.28,87.5,0.87,0.88,0.88,124,20,16,128
1,{'logisticregression__C': 0.0001},81.82,80.9,0.81,0.81,0.81,114,30,25,119,{'logisticregression__C': 0.001},87.88,84.03,0.84,0.84,0.84,119,25,21,123,{'logisticregression__C': 0.0001},83.98,80.21,0.8,0.8,0.8,111,33,24,120,{'logisticregression__C': 0.0005},84.85,79.86,0.8,0.8,0.8,110,34,24,120,{'logisticregression__C': 0.0001},79.65,79.51,0.79,0.8,0.8,109,35,24,120,{'logisticregression__C': 0.001},86.15,82.99,0.83,0.83,0.83,117,27,22,122,{'logisticregression__C': 0.0005},83.12,82.29,0.82,0.82,0.82,115,29,22,122,{'logisticregression__C': 0.0001},79.22,79.51,0.8,0.8,0.8,111,33,26,118,{'logisticregression__C': 0.0001},84.85,82.64,0.83,0.83,0.83,114,30,20,124,{'logisticregression__C': 0.001},81.39,81.6,0.82,0.82,0.82,113,31,22,122,{'logisticregression__C': 0.0001},86.58,85.76,0.86,0.86,0.86,122,22,19,125,Ensemble,85.71,83.68,0.84,0.84,0.84,118,26,21,123,Ensemble,85.71,85.42,0.85,0.85,0.85,120,24,18,126,Ensemble,84.85,85.76,0.86,0.86,0.86,120,24,17,127,Ensemble,87.45,86.11,0.86,0.86,0.86,122,22,18,126,Ensemble,85.71,84.72,0.85,0.85,0.85,118,26,18,126,Ensemble,86.15,85.42,0.85,0.85,0.85,120,24,18,126
2,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,119,25,29,115,{'logisticregression__C': 0.0001},81.39,82.99,0.83,0.83,0.83,119,25,24,120,{'logisticregression__C': 0.0001},78.35,81.25,0.81,0.81,0.81,116,28,26,118,{'logisticregression__C': 0.0001},84.85,80.9,0.81,0.81,0.81,110,34,21,123,{'logisticregression__C': 0.001},74.46,76.39,0.76,0.76,0.76,109,35,33,111,{'logisticregression__C': 0.001},80.52,83.33,0.83,0.83,0.83,115,29,19,125,{'logisticregression__C': 0.0001},81.39,78.12,0.78,0.78,0.78,107,37,26,118,{'logisticregression__C': 0.0005},77.49,78.82,0.79,0.79,0.79,108,36,25,119,{'logisticregression__C': 0.0005},83.12,81.94,0.82,0.82,0.82,112,32,20,124,{'logisticregression__C': 0.0005},79.22,78.47,0.78,0.79,0.78,106,38,24,120,{'logisticregression__C': 0.001},80.95,85.07,0.85,0.85,0.85,120,24,19,125,Ensemble,80.95,82.99,0.83,0.83,0.83,119,25,24,120,Ensemble,81.82,85.07,0.85,0.85,0.85,120,24,19,125,Ensemble,83.12,83.68,0.84,0.84,0.84,118,26,21,123,Ensemble,83.12,84.03,0.84,0.84,0.84,119,25,21,123,Ensemble,83.98,84.03,0.84,0.84,0.84,118,26,20,124,Ensemble,82.25,84.03,0.84,0.84,0.84,117,27,19,125
3,{'logisticregression__C': 0.0005},83.55,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.0001},84.42,84.72,0.85,0.85,0.85,122,22,22,122,{'logisticregression__C': 0.001},82.25,80.21,0.8,0.8,0.8,112,32,25,119,{'logisticregression__C': 0.0001},80.95,80.9,0.81,0.81,0.81,110,34,21,123,{'logisticregression__C': 0.0001},81.39,78.12,0.78,0.78,0.78,109,35,28,116,{'logisticregression__C': 0.0005},83.98,83.33,0.83,0.83,0.83,115,29,19,125,{'logisticregression__C': 0.001},85.28,78.47,0.78,0.79,0.78,106,38,24,120,{'logisticregression__C': 0.0001},81.39,76.39,0.76,0.77,0.76,102,42,26,118,{'logisticregression__C': 0.0001},86.15,80.9,0.81,0.81,0.81,109,35,20,124,{'logisticregression__C': 0.0001},82.68,78.47,0.78,0.79,0.78,107,37,25,119,{'logisticregression__C': 0.0001},86.15,85.42,0.85,0.85,0.85,120,24,18,126,Ensemble,84.85,85.07,0.85,0.85,0.85,120,24,19,125,Ensemble,85.28,85.07,0.85,0.85,0.85,119,25,18,126,Ensemble,85.71,85.42,0.85,0.85,0.85,121,23,19,125,Ensemble,87.45,85.42,0.85,0.86,0.85,119,25,17,127,Ensemble,86.15,84.03,0.84,0.84,0.84,118,26,20,124,Ensemble,87.01,84.03,0.84,0.84,0.84,118,26,20,124
4,{'logisticregression__C': 0.0005},82.25,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.0005},81.82,83.68,0.84,0.84,0.84,120,24,23,121,{'logisticregression__C': 0.0001},79.65,80.9,0.81,0.81,0.81,114,30,25,119,{'logisticregression__C': 0.001},82.68,80.56,0.81,0.81,0.81,110,34,22,122,{'logisticregression__C': 0.0001},79.22,78.82,0.79,0.79,0.79,109,35,26,118,{'logisticregression__C': 0.001},82.68,81.94,0.82,0.82,0.82,114,30,22,122,{'logisticregression__C': 0.0001},81.39,79.51,0.79,0.8,0.8,106,38,21,123,{'logisticregression__C': 0.0001},80.52,79.17,0.79,0.79,0.79,112,32,28,116,{'logisticregression__C': 0.0001},84.42,83.33,0.83,0.84,0.83,112,32,16,128,{'logisticregression__C': 0.0005},79.22,77.08,0.77,0.78,0.77,102,42,24,120,{'logisticregression__C': 0.001},83.12,84.72,0.85,0.85,0.85,120,24,20,124,Ensemble,80.52,86.46,0.86,0.87,0.86,122,22,17,127,Ensemble,82.25,84.03,0.84,0.84,0.84,117,27,19,125,Ensemble,82.25,84.72,0.85,0.85,0.85,117,27,17,127,Ensemble,82.68,84.72,0.85,0.85,0.85,117,27,17,127,Ensemble,83.12,83.68,0.84,0.84,0.84,115,29,18,126,Ensemble,83.55,83.33,0.83,0.84,0.83,114,30,18,126
5,{'logisticregression__C': 0.0001},84.42,83.68,0.84,0.84,0.84,121,23,24,120,{'logisticregression__C': 0.0001},84.42,86.11,0.86,0.86,0.86,123,21,19,125,{'logisticregression__C': 0.001},83.12,80.9,0.81,0.81,0.81,110,34,21,123,{'logisticregression__C': 0.0001},85.28,80.21,0.8,0.8,0.8,110,34,23,121,{'logisticregression__C': 0.0001},78.79,79.51,0.79,0.8,0.8,110,34,25,119,{'logisticregression__C': 0.0005},85.71,86.46,0.86,0.86,0.86,125,19,20,124,{'logisticregression__C': 0.001},84.85,81.25,0.81,0.81,0.81,111,33,21,123,{'logisticregression__C': 0.0001},81.39,76.39,0.76,0.76,0.76,107,37,31,113,{'logisticregression__C': 0.0001},87.45,82.64,0.83,0.83,0.83,111,33,17,127,{'logisticregression__C': 0.0005},83.55,76.39,0.76,0.77,0.76,102,42,26,118,{'logisticregression__C': 0.001},87.88,86.46,0.86,0.86,0.86,124,20,19,125,Ensemble,86.15,84.72,0.85,0.85,0.85,120,24,20,124,Ensemble,87.01,85.76,0.86,0.86,0.86,123,21,20,124,Ensemble,88.74,84.38,0.84,0.84,0.84,119,25,20,124,Ensemble,87.88,84.03,0.84,0.84,0.84,117,27,19,125,Ensemble,87.45,84.72,0.85,0.85,0.85,119,25,19,125,Ensemble,88.31,84.38,0.84,0.84,0.84,119,25,20,124
6,{'logisticregression__C': 0.0001},87.01,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.0005},87.88,85.07,0.85,0.85,0.85,122,22,21,123,{'logisticregression__C': 0.0001},85.71,80.56,0.81,0.81,0.81,112,32,24,120,{'logisticregression__C': 0.0005},85.28,80.21,0.8,0.8,0.8,109,35,22,122,{'logisticregression__C': 0.0001},79.22,78.47,0.78,0.79,0.78,109,35,27,117,{'logisticregression__C': 0.001},83.98,83.33,0.83,0.83,0.83,117,27,21,123,{'logisticregression__C': 0.001},88.31,80.21,0.8,0.8,0.8,109,35,22,122,{'logisticregression__C': 0.0001},84.42,77.78,0.78,0.78,0.78,106,38,26,118,{'logisticregression__C': 0.0005},87.88,82.29,0.82,0.83,0.82,111,33,18,126,{'logisticregression__C': 0.0001},84.85,77.43,0.77,0.78,0.77,105,39,26,118,{'logisticregression__C': 0.001},86.15,86.46,0.86,0.87,0.86,121,23,16,128,Ensemble,88.31,86.46,0.86,0.87,0.86,122,22,17,127,Ensemble,87.01,85.76,0.86,0.86,0.86,119,25,16,128,Ensemble,87.45,86.11,0.86,0.86,0.86,119,25,15,129,Ensemble,87.45,86.81,0.87,0.87,0.87,120,24,14,130,Ensemble,88.31,85.07,0.85,0.85,0.85,119,25,18,126,Ensemble,87.45,84.03,0.84,0.84,0.84,115,29,17,127
7,{'logisticregression__C': 0.0005},78.79,81.6,0.82,0.82,0.82,115,29,24,120,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120,24,22,122,{'logisticregression__C': 0.0001},81.82,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.0001},80.52,79.86,0.8,0.8,0.8,107,37,21,123,{'logisticregression__C': 0.0001},79.22,77.78,0.78,0.78,0.78,108,36,28,116,{'logisticregression__C': 0.0005},83.98,82.99,0.83,0.83,0.83,116,28,21,123,{'logisticregression__C': 0.001},83.98,78.82,0.79,0.79,0.79,109,35,26,118,{'logisticregression__C': 0.0001},79.65,78.47,0.78,0.79,0.78,106,38,24,120,{'logisticregression__C': 0.0001},84.42,81.6,0.82,0.82,0.82,111,33,20,124,{'logisticregression__C': 0.001},80.95,77.08,0.77,0.78,0.77,102,42,24,120,{'logisticregression__C': 0.001},83.55,84.72,0.85,0.85,0.85,120,24,20,124,Ensemble,80.52,84.03,0.84,0.84,0.84,118,26,20,124,Ensemble,83.55,84.03,0.84,0.84,0.84,119,25,21,123,Ensemble,84.42,84.03,0.84,0.84,0.84,118,26,20,124,Ensemble,85.71,85.76,0.86,0.86,0.86,121,23,18,126,Ensemble,84.85,83.68,0.84,0.84,0.84,116,28,19,125,Ensemble,84.85,83.33,0.83,0.83,0.83,115,29,19,125
8,{'logisticregression__C': 0.0005},82.68,83.68,0.84,0.84,0.84,122,22,25,119,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120,24,22,122,{'logisticregression__C': 0.0001},83.55,80.56,0.81,0.81,0.81,113,31,25,119,{'logisticregression__C': 0.0001},82.68,79.17,0.79,0.8,0.79,105,39,21,123,{'logisticregression__C': 0.0001},78.35,80.21,0.8,0.8,0.8,112,32,25,119,{'logisticregression__C': 0.001},80.52,82.64,0.83,0.83,0.83,115,29,21,123,{'logisticregression__C': 0.0001},80.95,80.21,0.8,0.8,0.8,113,31,26,118,{'logisticregression__C': 0.0001},78.35,78.47,0.78,0.79,0.78,110,34,28,116,{'logisticregression__C': 0.001},81.39,81.94,0.82,0.82,0.82,111,33,19,125,{'logisticregression__C': 0.001},83.12,78.47,0.78,0.79,0.78,106,38,24,120,{'logisticregression__C': 0.001},82.25,83.68,0.84,0.84,0.84,116,28,19,125,Ensemble,81.82,84.72,0.85,0.85,0.85,121,23,21,123,Ensemble,81.39,83.33,0.83,0.83,0.83,116,28,20,124,Ensemble,83.12,84.72,0.85,0.85,0.85,119,25,19,125,Ensemble,82.68,84.72,0.85,0.85,0.85,118,26,18,126,Ensemble,82.25,84.38,0.84,0.84,0.84,118,26,19,125,Ensemble,82.68,84.72,0.85,0.85,0.85,118,26,18,126
9,{'logisticregression__C': 0.0001},85.28,81.94,0.82,0.82,0.82,119,25,27,117,{'logisticregression__C': 0.0001},83.12,83.33,0.83,0.83,0.83,118,26,22,122,{'logisticregression__C': 0.0005},82.25,82.99,0.83,0.83,0.83,117,27,22,122,{'logisticregression__C': 0.0001},84.42,82.29,0.82,0.82,0.82,113,31,20,124,{'logisticregression__C': 0.0001},78.35,77.78,0.78,0.78,0.78,108,36,28,116,{'logisticregression__C': 0.0001},83.55,83.68,0.84,0.84,0.84,118,26,21,123,{'logisticregression__C': 0.001},85.71,78.82,0.79,0.79,0.79,109,35,26,118,{'logisticregression__C': 0.0001},77.49,78.82,0.79,0.79,0.79,111,33,28,116,{'logisticregression__C': 0.0001},85.28,81.6,0.82,0.82,0.82,109,35,18,126,{'logisticregression__C': 0.001},82.68,80.56,0.8,0.81,0.81,108,36,20,124,{'logisticregression__C': 0.001},83.55,83.68,0.84,0.84,0.84,120,24,23,121,Ensemble,84.42,84.03,0.84,0.84,0.84,117,27,19,125,Ensemble,83.12,84.03,0.84,0.84,0.84,120,24,22,122,Ensemble,83.98,84.72,0.85,0.85,0.85,118,26,18,126,Ensemble,86.15,85.42,0.85,0.86,0.85,118,26,16,128,Ensemble,85.71,84.72,0.85,0.85,0.85,117,27,17,127,Ensemble,84.85,85.76,0.86,0.86,0.86,119,25,16,128
