Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNet B4 Best Param,EfficientNet B4 Val Acc,EfficientNet B4 Test Acc,EfficientNet B4 F1 score,EfficientNet B4 Precision,EfficientNet B4 Recall,EfficientNet B4 True Neg.,EfficientNet B4 False Pos.,EfficientNet B4 False Neg.,EfficientNet B4 True Pos.,ResNet101 Best Param,ResNet101 Val Acc,ResNet101 Test Acc,ResNet101 F1 score,ResNet101 Precision,ResNet101 Recall,ResNet101 True Neg.,ResNet101 False Pos.,ResNet101 False Neg.,ResNet101 True Pos.,ResNet152 Best Param,ResNet152 Val Acc,ResNet152 Test Acc,ResNet152 F1 score,ResNet152 Precision,ResNet152 Recall,ResNet152 True Neg.,ResNet152 False Pos.,ResNet152 False Neg.,ResNet152 True Pos.,IncResNetV2 Best Param,IncResNetV2 Val Acc,IncResNetV2 Test Acc,IncResNetV2 F1 score,IncResNetV2 Precision,IncResNetV2 Recall,IncResNetV2 True Neg.,IncResNetV2 False Pos.,IncResNetV2 False Neg.,IncResNetV2 True Pos.,FeatSpaceEnsNet of ResNet50-IncResNetV2 Best Param,FeatSpaceEnsNet of ResNet50-IncResNetV2 Val Acc,FeatSpaceEnsNet of ResNet50-IncResNetV2 Test Acc,FeatSpaceEnsNet of ResNet50-IncResNetV2 F1 score,FeatSpaceEnsNet of ResNet50-IncResNetV2 Precision,FeatSpaceEnsNet of ResNet50-IncResNetV2 Recall,FeatSpaceEnsNet of ResNet50-IncResNetV2 True Neg.,FeatSpaceEnsNet of ResNet50-IncResNetV2 False Pos.,FeatSpaceEnsNet of ResNet50-IncResNetV2 False Neg.,FeatSpaceEnsNet of ResNet50-IncResNetV2 True Pos.,AvgEnsNet of: ResNet50 & ResNet101 Best Param,AvgEnsNet of: ResNet50 & ResNet101 Val Acc,AvgEnsNet of: ResNet50 & ResNet101 Test Acc,AvgEnsNet of: ResNet50 & ResNet101 F1 score,AvgEnsNet of: ResNet50 & ResNet101 Precision,AvgEnsNet of: ResNet50 & ResNet101 Recall,AvgEnsNet of: ResNet50 & ResNet101 True Neg.,AvgEnsNet of: ResNet50 & ResNet101 False Pos.,AvgEnsNet of: ResNet50 & ResNet101 False Neg.,AvgEnsNet of: ResNet50 & ResNet101 True Pos.,AvgEnsNet of: ResNet50 & ResNeXt50 Best Param,AvgEnsNet of: ResNet50 & ResNeXt50 Val Acc,AvgEnsNet of: ResNet50 & ResNeXt50 Test Acc,AvgEnsNet of: ResNet50 & ResNeXt50 F1 score,AvgEnsNet of: ResNet50 & ResNeXt50 Precision,AvgEnsNet of: ResNet50 & ResNeXt50 Recall,AvgEnsNet of: ResNet50 & ResNeXt50 True Neg.,AvgEnsNet of: ResNet50 & ResNeXt50 False Pos.,AvgEnsNet of: ResNet50 & ResNeXt50 False Neg.,AvgEnsNet of: ResNet50 & ResNeXt50 True Pos.,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 Best Param,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 Val Acc,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 Test Acc,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 F1 score,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 Precision,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 Recall,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 True Neg.,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 False Pos.,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 False Neg.,AvgEnsNet of: ResNet50 & ResNet101 & ResNeXt50 True Pos.,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 Best Param,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 Val Acc,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 Test Acc,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 F1 score,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 Precision,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 Recall,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 True Neg.,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 False Pos.,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 False Neg.,AvgEnsNet of: ResNet50 & ResNet101 & InceptionResNetV2 True Pos.,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 Best Param,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 Val Acc,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 Test Acc,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 F1 score,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 Precision,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 Recall,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 True Neg.,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 False Pos.,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 False Neg.,AvgEnsNet of: ResNet50 & ResNet101 & ResNet152 True Pos.,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 Best Param,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 Val Acc,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 Test Acc,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 F1 score,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 Precision,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 Recall,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 True Neg.,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 False Pos.,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 False Neg.,AvgEnsNet of: ResNet50 & ResNeXt50 & EfficientNetB4 True Pos.
0,{'logisticregression__C': 0.0001},83.12,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0,{'logisticregression__C': 0.001},77.92,82.29,0.82,0.82,0.82,116.0,28.0,23.0,121.0,{'logisticregression__C': 0.0001},81.82,81.94,0.82,0.82,0.82,113.0,31.0,21.0,123.0,{'logisticregression__C': 0.001},83.98,85.42,0.85,0.85,0.85,121.0,23.0,19.0,125.0,{'logisticregression__C': 0.0005},83.55,82.99,0.83,0.83,0.83,115.0,29.0,20.0,124.0,{'logisticregression__C': 0.0005},83.12,85.07,0.85,0.85,0.85,125.0,19.0,24.0,120.0,{'logisticregression__C': 0.001},85.28,86.11,0.86,0.86,0.86,126.0,18.0,22.0,122.0,Ensemble,85.71,86.81,0.87,0.87,0.87,123.0,21.0,17.0,127.0,Ensemble,82.25,85.07,0.85,0.85,0.85,121.0,23.0,20.0,124.0,Ensemble,86.15,87.85,0.88,0.88,0.88,127.0,17.0,18.0,126.0,Ensemble,83.12,86.81,0.87,0.87,0.87,123.0,21.0,17.0,127.0,Ensemble,85.71,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0,Ensemble,83.12,85.76,0.86,0.86,0.86,121.0,23.0,18.0,126.0
1,{'logisticregression__C': 0.001},87.88,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.0001},83.98,80.21,0.8,0.8,0.8,111.0,33.0,24.0,120.0,{'logisticregression__C': 0.0005},84.85,79.86,0.8,0.8,0.8,110.0,34.0,24.0,120.0,{'logisticregression__C': 0.001},86.15,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,{'logisticregression__C': 0.0005},83.12,82.29,0.82,0.82,0.82,115.0,29.0,22.0,122.0,{'logisticregression__C': 0.0001},81.82,80.9,0.81,0.81,0.81,114.0,30.0,25.0,119.0,{'logisticregression__C': 0.0005},85.28,84.38,0.84,0.84,0.84,121.0,23.0,22.0,122.0,Ensemble,85.28,84.38,0.84,0.84,0.84,118.0,26.0,19.0,125.0,Ensemble,86.15,84.38,0.84,0.84,0.84,119.0,25.0,20.0,124.0,Ensemble,84.85,86.46,0.86,0.87,0.86,122.0,22.0,17.0,127.0,Ensemble,86.15,85.76,0.86,0.86,0.86,121.0,23.0,18.0,126.0,Ensemble,86.58,84.72,0.85,0.85,0.85,117.0,27.0,17.0,127.0,Ensemble,87.88,86.81,0.87,0.87,0.87,120.0,24.0,14.0,130.0
2,{'logisticregression__C': 0.0001},81.39,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.0001},78.35,81.25,0.81,0.81,0.81,116.0,28.0,26.0,118.0,{'logisticregression__C': 0.0001},84.85,80.9,0.81,0.81,0.81,110.0,34.0,21.0,123.0,{'logisticregression__C': 0.001},80.52,83.33,0.83,0.83,0.83,115.0,29.0,19.0,125.0,{'logisticregression__C': 0.0001},81.39,78.12,0.78,0.78,0.78,107.0,37.0,26.0,118.0,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,119.0,25.0,29.0,115.0,{'logisticregression__C': 0.001},81.82,82.29,0.82,0.82,0.82,119.0,25.0,26.0,118.0,Ensemble,80.52,84.38,0.84,0.84,0.84,118.0,26.0,19.0,125.0,Ensemble,80.52,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,Ensemble,82.25,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,Ensemble,80.95,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,Ensemble,80.95,82.64,0.83,0.83,0.83,115.0,29.0,21.0,123.0,Ensemble,83.12,84.03,0.84,0.84,0.84,117.0,27.0,19.0,125.0
3,{'logisticregression__C': 0.0001},84.42,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,{'logisticregression__C': 0.001},82.25,80.21,0.8,0.8,0.8,112.0,32.0,25.0,119.0,{'logisticregression__C': 0.0001},80.95,80.9,0.81,0.81,0.81,110.0,34.0,21.0,123.0,{'logisticregression__C': 0.0005},83.98,83.33,0.83,0.83,0.83,115.0,29.0,19.0,125.0,{'logisticregression__C': 0.001},85.28,78.47,0.78,0.79,0.78,106.0,38.0,24.0,120.0,{'logisticregression__C': 0.0005},83.55,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,{'logisticregression__C': 0.0005},85.71,84.03,0.84,0.84,0.84,124.0,20.0,26.0,118.0,Ensemble,84.85,85.07,0.85,0.85,0.85,118.0,26.0,17.0,127.0,Ensemble,84.85,82.29,0.82,0.82,0.82,114.0,30.0,21.0,123.0,Ensemble,85.71,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0,Ensemble,83.55,84.38,0.84,0.84,0.84,118.0,26.0,19.0,125.0,Ensemble,86.15,83.33,0.83,0.84,0.83,114.0,30.0,18.0,126.0,Ensemble,85.28,84.03,0.84,0.84,0.84,117.0,27.0,19.0,125.0
4,{'logisticregression__C': 0.0005},81.82,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0,{'logisticregression__C': 0.0001},79.65,80.9,0.81,0.81,0.81,114.0,30.0,25.0,119.0,{'logisticregression__C': 0.001},82.68,80.56,0.81,0.81,0.81,110.0,34.0,22.0,122.0,{'logisticregression__C': 0.001},82.68,81.94,0.82,0.82,0.82,114.0,30.0,22.0,122.0,{'logisticregression__C': 0.0001},81.39,79.51,0.79,0.8,0.8,106.0,38.0,21.0,123.0,{'logisticregression__C': 0.0005},82.25,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,{'logisticregression__C': 0.0005},82.68,85.76,0.86,0.86,0.86,124.0,20.0,21.0,123.0,Ensemble,82.68,84.03,0.84,0.84,0.84,118.0,26.0,20.0,124.0,Ensemble,83.55,85.76,0.86,0.86,0.86,119.0,25.0,16.0,128.0,Ensemble,80.09,85.76,0.86,0.86,0.86,121.0,23.0,18.0,126.0,Ensemble,83.55,85.42,0.85,0.85,0.85,120.0,24.0,18.0,126.0,Ensemble,84.42,85.07,0.85,0.85,0.85,118.0,26.0,17.0,127.0,Ensemble,83.12,86.11,0.86,0.86,0.86,117.0,27.0,13.0,131.0
5,{'logisticregression__C': 0.0001},84.42,86.11,0.86,0.86,0.86,123.0,21.0,19.0,125.0,{'logisticregression__C': 0.001},83.12,80.9,0.81,0.81,0.81,110.0,34.0,21.0,123.0,{'logisticregression__C': 0.0001},85.28,80.21,0.8,0.8,0.8,110.0,34.0,23.0,121.0,{'logisticregression__C': 0.0001},87.01,85.42,0.85,0.85,0.85,124.0,20.0,22.0,122.0,{'logisticregression__C': 0.0005},84.85,81.6,0.82,0.82,0.82,111.0,33.0,20.0,124.0,{'logisticregression__C': 0.0001},84.42,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,{'logisticregression__C': 0.0001},87.01,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0,Ensemble,87.01,85.76,0.86,0.86,0.86,121.0,23.0,18.0,126.0,Ensemble,85.71,82.64,0.83,0.83,0.83,114.0,30.0,20.0,124.0,Ensemble,86.15,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0,Ensemble,85.71,85.07,0.85,0.85,0.85,121.0,23.0,20.0,124.0,Ensemble,88.31,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,87.88,84.38,0.84,0.85,0.84,115.0,29.0,16.0,128.0
6,{'logisticregression__C': 0.0005},87.88,85.07,0.85,0.85,0.85,122.0,22.0,21.0,123.0,{'logisticregression__C': 0.0001},85.71,80.56,0.81,0.81,0.81,112.0,32.0,24.0,120.0,{'logisticregression__C': 0.0005},85.28,80.21,0.8,0.8,0.8,109.0,35.0,22.0,122.0,{'logisticregression__C': 0.001},83.98,83.33,0.83,0.83,0.83,117.0,27.0,21.0,123.0,{'logisticregression__C': 0.001},88.31,80.21,0.8,0.8,0.8,109.0,35.0,22.0,122.0,{'logisticregression__C': 0.0001},87.01,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,{'logisticregression__C': 0.0001},88.74,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0,Ensemble,87.01,86.11,0.86,0.86,0.86,119.0,25.0,15.0,129.0,Ensemble,87.88,86.11,0.86,0.86,0.86,121.0,23.0,17.0,127.0,Ensemble,86.15,86.46,0.86,0.87,0.86,121.0,23.0,16.0,128.0,Ensemble,87.01,86.46,0.86,0.87,0.86,121.0,23.0,16.0,128.0,Ensemble,88.31,85.07,0.85,0.85,0.85,120.0,24.0,19.0,125.0,Ensemble,88.31,86.81,0.87,0.87,0.87,120.0,24.0,14.0,130.0
7,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.0001},81.82,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,{'logisticregression__C': 0.0001},80.52,79.86,0.8,0.8,0.8,107.0,37.0,21.0,123.0,{'logisticregression__C': 0.0005},83.98,82.99,0.83,0.83,0.83,116.0,28.0,21.0,123.0,{'logisticregression__C': 0.001},83.98,78.82,0.79,0.79,0.79,109.0,35.0,26.0,118.0,{'logisticregression__C': 0.0005},78.79,81.6,0.82,0.82,0.82,115.0,29.0,24.0,120.0,{'logisticregression__C': 0.001},83.12,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,Ensemble,83.55,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,Ensemble,83.98,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0,Ensemble,83.12,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0,Ensemble,84.85,85.42,0.85,0.85,0.85,121.0,23.0,19.0,125.0,Ensemble,84.85,82.64,0.83,0.83,0.83,116.0,28.0,22.0,122.0,Ensemble,84.42,84.72,0.85,0.85,0.85,118.0,26.0,18.0,126.0
8,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.0001},83.55,80.56,0.81,0.81,0.81,113.0,31.0,25.0,119.0,{'logisticregression__C': 0.0001},82.68,79.17,0.79,0.8,0.79,105.0,39.0,21.0,123.0,{'logisticregression__C': 0.001},80.52,82.64,0.83,0.83,0.83,115.0,29.0,21.0,123.0,{'logisticregression__C': 0.0001},80.95,80.21,0.8,0.8,0.8,113.0,31.0,26.0,118.0,{'logisticregression__C': 0.0005},82.68,83.68,0.84,0.84,0.84,122.0,22.0,25.0,119.0,{'logisticregression__C': 0.0001},84.42,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,Ensemble,80.52,83.68,0.84,0.84,0.84,116.0,28.0,19.0,125.0,Ensemble,84.42,83.33,0.83,0.84,0.83,114.0,30.0,18.0,126.0,Ensemble,82.68,84.38,0.84,0.84,0.84,119.0,25.0,20.0,124.0,Ensemble,83.98,83.68,0.84,0.84,0.84,118.0,26.0,21.0,123.0,Ensemble,82.25,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0,Ensemble,83.55,84.72,0.85,0.85,0.85,115.0,29.0,15.0,129.0
9,{'logisticregression__C': 0.0001},83.12,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,{'logisticregression__C': 0.0005},82.25,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,{'logisticregression__C': 0.0001},84.42,82.29,0.82,0.82,0.82,113.0,31.0,20.0,124.0,{'logisticregression__C': 0.0001},83.55,83.68,0.84,0.84,0.84,118.0,26.0,21.0,123.0,{'logisticregression__C': 0.001},85.71,78.82,0.79,0.79,0.79,109.0,35.0,26.0,118.0,{'logisticregression__C': 0.0001},85.28,81.94,0.82,0.82,0.82,119.0,25.0,27.0,117.0,{'logisticregression__C': 0.001},86.15,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0,Ensemble,82.25,83.68,0.84,0.84,0.84,119.0,25.0,22.0,122.0,Ensemble,84.85,84.38,0.84,0.85,0.84,117.0,27.0,18.0,126.0,Ensemble,83.55,86.11,0.86,0.86,0.86,121.0,23.0,17.0,127.0,Ensemble,85.28,84.72,0.85,0.85,0.85,120.0,24.0,20.0,124.0,Ensemble,83.12,81.94,0.82,0.82,0.82,116.0,28.0,24.0,120.0,Ensemble,85.28,85.07,0.85,0.85,0.85,118.0,26.0,17.0,127.0
