Counter,IncResNetV2 Best Param,IncResNetV2 Val Acc,IncResNetV2 Test Acc,IncResNetV2 F1 score,IncResNetV2 Precision,IncResNetV2 Recall,IncResNetV2 True Neg.,IncResNetV2 False Pos.,IncResNetV2 False Neg.,IncResNetV2 True Pos.,Ensemble of ResNet50 & ResNet101 & ResNet152 Best Param,Ensemble of ResNet50 & ResNet101 & ResNet152 Val Acc,Ensemble of ResNet50 & ResNet101 & ResNet152 Test Acc,Ensemble of ResNet50 & ResNet101 & ResNet152 F1 score,Ensemble of ResNet50 & ResNet101 & ResNet152 Precision,Ensemble of ResNet50 & ResNet101 & ResNet152 Recall,Ensemble of ResNet50 & ResNet101 & ResNet152 True Neg.,Ensemble of ResNet50 & ResNet101 & ResNet152 False Pos.,Ensemble of ResNet50 & ResNet101 & ResNet152 False Neg.,Ensemble of ResNet50 & ResNet101 & ResNet152 True Pos.,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 Best Param,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 Val Acc,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 Test Acc,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 F1 score,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 Precision,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 Recall,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 True Neg.,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 False Pos.,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 False Neg.,Ensemble of ResNet50 & ResNet101 & InceptionResNetV2 True Pos.,Ensemble of ResNet50 & ResNet101 Best Param,Ensemble of ResNet50 & ResNet101 Val Acc,Ensemble of ResNet50 & ResNet101 Test Acc,Ensemble of ResNet50 & ResNet101 F1 score,Ensemble of ResNet50 & ResNet101 Precision,Ensemble of ResNet50 & ResNet101 Recall,Ensemble of ResNet50 & ResNet101 True Neg.,Ensemble of ResNet50 & ResNet101 False Pos.,Ensemble of ResNet50 & ResNet101 False Neg.,Ensemble of ResNet50 & ResNet101 True Pos.
0,{'logisticregression__C': 0.0005},83.12,85.07,0.85,0.85,0.85,125,19,24,120,{'logisticregression__C': 0.001},84.85,85.76,0.86,0.86,0.86,120,24,17,127,{'logisticregression__C': 0.001},84.85,85.07,0.85,0.85,0.85,123,21,22,122,{'logisticregression__C': 0.0005},84.85,86.81,0.87,0.87,0.87,123,21,17,127
1,{'logisticregression__C': 0.0001},81.82,80.9,0.81,0.81,0.81,114,30,25,119,{'logisticregression__C': 0.001},87.45,85.07,0.85,0.85,0.85,118,26,17,127,{'logisticregression__C': 0.001},83.98,84.72,0.85,0.85,0.85,121,23,21,123,{'logisticregression__C': 0.0001},86.58,85.76,0.86,0.86,0.86,122,22,19,125
2,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,119,25,29,115,{'logisticregression__C': 0.001},80.95,82.64,0.83,0.83,0.83,113,31,19,125,{'logisticregression__C': 0.0001},83.12,84.03,0.84,0.84,0.84,119,25,21,123,{'logisticregression__C': 0.001},80.95,85.07,0.85,0.85,0.85,120,24,19,125
3,{'logisticregression__C': 0.0005},83.55,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.001},86.58,83.33,0.83,0.83,0.83,117,27,21,123,{'logisticregression__C': 0.0001},85.28,83.68,0.84,0.84,0.84,120,24,23,121,{'logisticregression__C': 0.0001},86.15,85.42,0.85,0.85,0.85,120,24,18,126
4,{'logisticregression__C': 0.0005},82.25,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.001},83.55,83.33,0.83,0.83,0.83,115,29,19,125,{'logisticregression__C': 0.001},83.12,82.99,0.83,0.83,0.83,118,26,23,121,{'logisticregression__C': 0.001},83.12,84.72,0.85,0.85,0.85,120,24,20,124
5,{'logisticregression__C': 0.0001},84.42,83.68,0.84,0.84,0.84,121,23,24,120,{'logisticregression__C': 0.001},87.45,83.33,0.83,0.83,0.83,118,26,22,122,{'logisticregression__C': 0.0005},86.15,84.03,0.84,0.84,0.84,121,23,23,121,{'logisticregression__C': 0.0005},87.88,86.46,0.86,0.86,0.86,124,20,19,125
6,{'logisticregression__C': 0.0001},87.01,83.33,0.83,0.83,0.83,119,25,23,121,{'logisticregression__C': 0.001},87.01,84.38,0.84,0.84,0.84,118,26,19,125,{'logisticregression__C': 0.0005},87.01,84.03,0.84,0.84,0.84,118,26,20,124,{'logisticregression__C': 0.001},86.15,86.46,0.86,0.87,0.86,121,23,16,128
7,{'logisticregression__C': 0.0005},78.79,81.6,0.82,0.82,0.82,115,29,24,120,{'logisticregression__C': 0.001},83.98,82.64,0.83,0.83,0.83,116,28,22,122,{'logisticregression__C': 0.0001},80.95,84.03,0.84,0.84,0.84,119,25,21,123,{'logisticregression__C': 0.001},83.55,84.72,0.85,0.85,0.85,120,24,20,124
8,{'logisticregression__C': 0.0005},82.68,83.68,0.84,0.84,0.84,122,22,25,119,{'logisticregression__C': 0.001},81.39,84.38,0.84,0.84,0.84,119,25,20,124,{'logisticregression__C': 0.0001},83.55,83.33,0.83,0.83,0.83,117,27,21,123,{'logisticregression__C': 0.001},82.25,83.68,0.84,0.84,0.84,116,28,19,125
9,{'logisticregression__C': 0.0001},85.28,81.94,0.82,0.82,0.82,119,25,27,117,{'logisticregression__C': 0.0001},83.12,82.64,0.83,0.83,0.83,117,27,23,121,{'logisticregression__C': 0.0005},84.42,85.42,0.85,0.85,0.85,122,22,20,124,{'logisticregression__C': 0.001},83.55,83.68,0.84,0.84,0.84,120,24,23,121
