Counter,InceptionResNetV2 Best Param,InceptionResNetV2 Val Acc,InceptionResNetV2 Test Acc,InceptionResNetV2 F1 score,InceptionResNetV2 Precision,InceptionResNetV2 Recall,InceptionResNetV2 True Neg.,InceptionResNetV2 False Pos.,InceptionResNetV2 False Neg.,InceptionResNetV2 True Pos.
0,{'logisticregression__C': 0.0005},83.12,85.07,0.85,0.85,0.85,125.0,19.0,24.0,120.0
1,{'logisticregression__C': 0.0001},81.82,80.9,0.81,0.81,0.81,114.0,30.0,25.0,119.0
2,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,119.0,25.0,29.0,115.0
3,{'logisticregression__C': 0.0005},83.55,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0
4,{'logisticregression__C': 0.0005},82.25,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0
5,{'logisticregression__C': 0.0001},84.42,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0
6,{'logisticregression__C': 0.0001},87.01,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0
7,{'logisticregression__C': 0.0005},78.79,81.6,0.82,0.82,0.82,115.0,29.0,24.0,120.0
8,{'logisticregression__C': 0.0005},82.68,83.68,0.84,0.84,0.84,122.0,22.0,25.0,119.0
9,{'logisticregression__C': 0.0001},85.28,81.94,0.82,0.82,0.82,119.0,25.0,27.0,117.0
4.5,,83.16000000000001,82.811,0.828,0.828,0.828,119.2,24.8,24.7,119.3
9.166666666666666,,4.8043999999999984,1.7483655555555537,0.00017333333333333277,0.00017333333333333277,0.00017333333333333277,9.955555555555556,9.955555555555556,3.7888888888888883,3.788888888888889
3.0276503540974917,,2.1918941580286213,1.3222577492892804,0.013165611772087644,0.013165611772087644,0.013165611772087644,3.155242550986462,3.155242550986462,1.946506842754191,1.9465068427541912
